i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
25	51	0.246	0.103	0.59	0.44
38	47	0.246	0.150	0.59	0.48
48	69	0.245	0.100	0.34	0.32
6	67	0.245	0.175	0.36	0.33
45	83	0.244	0.142	0.55	0.45
84	103	0.243	0.141	0.46	0.36
58	98	0.243	0.076	0.56	0.37
47	84	0.243	0.064	0.43	0.29
48	71	0.242	0.089	0.46	0.33
37	80	0.241	0.087	0.51	0.33
48	70	0.241	0.099	0.48	0.32
47	79	0.240	0.175	0.46	0.43
10	96	0.239	0.121	0.58	0.46
47	66	0.238	0.167	0.52	0.47
45	79	0.238	0.128	0.47	0.37
40	67	0.238	0.128	0.36	0.32
1	66	0.237	0.047	0.45	0.25
59	79	0.237	0.103	0.37	0.30
6	38	0.236	0.075	0.56	0.36
67	83	0.234	0.047	0.40	0.31
90	100	0.234	0.129	0.42	0.36
65	83	0.233	0.115	0.48	0.38
1	68	0.233	0.089	0.46	0.32
1	70	0.233	0.121	0.42	0.35
6	12	0.233	0.083	0.37	0.28
84	101	0.232	0.127	0.34	0.30
28	62	0.232	0.046	0.58	0.37
66	102	0.231	0.093	0.52	0.35
12	101	0.230	0.053	0.45	0.28
26	98	0.230	0.064	0.44	0.31
5	22	0.229	0.128	0.40	0.35
59	100	0.229	0.096	0.38	0.30
5	12	0.228	0.116	0.41	0.30
56	59	0.228	0.154	0.38	0.36
28	93	0.228	0.182	0.26	0.24
51	53	0.228	0.121	0.51	0.37
77	87	0.227	0.104	0.58	0.40
31	67	0.227	0.061	0.31	0.27
26	83	0.226	0.069	0.42	0.26
6	52	0.226	0.168	0.50	0.47
83	100	0.225	0.106	0.45	0.38
66	103	0.225	0.057	0.52	0.30
43	51	0.224	0.121	0.34	0.30
64	67	0.224	0.100	0.38	0.32
