i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
94	102	0.399	0.325	0.74	0.68
172	178	0.398	0.080	0.40	0.28
25	184	0.397	0.189	0.83	0.61
52	77	0.396	0.129	0.48	0.30
85	91	0.395	0.122	0.54	0.33
52	184	0.395	0.339	0.58	0.55
112	142	0.394	0.260	0.65	0.52
38	53	0.394	0.258	0.47	0.40
61	153	0.394	0.079	0.43	0.29
74	101	0.394	0.092	0.69	0.34
49	74	0.392	0.298	0.59	0.57
94	97	0.391	0.351	0.75	0.71
116	122	0.391	0.313	0.54	0.52
86	136	0.391	0.155	0.46	0.33
37	85	0.388	0.171	0.41	0.32
99	161	0.386	0.142	0.47	0.27
8	141	0.386	0.116	0.59	0.33
80	91	0.386	0.196	0.46	0.40
18	65	0.386	0.094	0.69	0.34
73	116	0.385	0.189	0.49	0.39
75	116	0.383	0.338	0.56	0.54
66	85	0.380	0.093	0.60	0.35
65	95	0.379	0.133	0.69	0.48
71	85	0.379	0.104	0.42	0.28
72	93	0.378	0.134	0.52	0.36
41	165	0.378	0.305	0.76	0.73
1	65	0.377	0.228	0.72	0.62
22	70	0.376	0.127	0.40	0.28
37	76	0.376	0.106	0.41	0.26
106	156	0.375	0.084	0.58	0.31
36	119	0.374	0.075	0.40	0.25
94	149	0.373	0.315	0.70	0.61
10	86	0.373	0.340	0.45	0.43
96	116	0.372	0.154	0.41	0.32
38	41	0.372	0.098	0.42	0.26
20	157	0.372	0.153	0.54	0.35
154	159	0.372	0.136	0.34	0.25
122	169	0.372	0.100	0.41	0.29
38	48	0.370	0.204	0.45	0.39
92	112	0.370	0.153	0.66	0.41
21	87	0.370	0.324	0.41	0.38
20	26	0.370	0.138	0.49	0.34
70	122	0.369	0.274	0.49	0.45
85	88	0.368	0.236	0.45	0.39
51	76	0.368	0.279	0.47	0.42
22	60	0.367	0.336	0.57	0.53
92	100	0.366	0.081	0.51	0.30
66	153	0.365	0.073	0.57	0.25
48	69	0.364	0.301	0.54	0.51
1	66	0.364	0.116	0.64	0.40
112	129	0.364	0.191	0.63	0.45
54	55	0.363	0.327	0.46	0.46
98	114	0.363	0.083	0.46	0.32
94	139	0.362	0.340	0.71	0.69
20	113	0.361	0.088	0.59	0.30
35	158	0.361	0.072	0.47	0.28
41	89	0.360	0.198	0.74	0.57
68	92	0.360	0.110	0.49	0.32
66	72	0.360	0.146	0.53	0.36
26	163	0.360	0.081	0.53	0.28
111	154	0.359	0.072	0.77	0.33
162	180	0.358	0.123	0.44	0.29
122	144	0.357	0.076	0.48	0.26
48	89	0.356	0.071	0.69	0.31
12	116	0.355	0.303	0.55	0.52
10	93	0.355	0.089	0.62	0.41
89	100	0.354	0.271	0.68	0.63
100	166	0.354	0.224	0.51	0.43
10	17	0.354	0.247	0.32	0.27
75	80	0.353	0.160	0.50	0.40
73	74	0.353	0.296	0.58	0.54
42	74	0.353	0.247	0.62	0.54
20	144	0.352	0.171	0.45	0.35
18	95	0.351	0.083	0.40	0.27
118	173	0.351	0.199	0.67	0.47
49	92	0.351	0.137	0.45	0.32
19	113	0.349	0.182	0.63	0.45
64	94	0.349	0.326	0.68	0.64
0	139	0.347	0.286	0.41	0.37
83	113	0.347	0.179	0.62	0.50
95	139	0.347	0.283	0.42	0.37
1	127	0.346	0.289	0.60	0.59
39	80	0.346	0.071	0.39	0.24
89	95	0.345	0.306	0.75	0.71
116	162	0.345	0.229	0.44	0.37
47	50	0.344	0.187	0.26	0.24
23	110	0.344	0.177	0.65	0.44
36	48	0.344	0.071	0.54	0.32
74	116	0.343	0.288	0.69	0.59
56	111	0.342	0.314	0.69	0.65
77	94	0.341	0.160	0.70	0.50
117	175	0.341	0.168	0.73	0.59
57	76	0.341	0.092	0.66	0.36
8	147	0.340	0.106	0.59	0.34
1	80	0.340	0.095	0.45	0.32
48	184	0.340	0.140	0.28	0.26
16	56	0.340	0.072	0.66	0.36
59	166	0.339	0.143	0.42	0.34
76	149	0.338	0.298	0.52	0.49
92	113	0.337	0.161	0.68	0.51
88	121	0.337	0.278	0.48	0.46
87	116	0.337	0.201	0.41	0.37
78	146	0.337	0.175	0.37	0.30
38	55	0.336	0.137	0.45	0.34
87	95	0.336	0.125	0.44	0.30
20	125	0.336	0.090	0.62	0.35
82	109	0.335	0.099	0.57	0.30
17	127	0.335	0.126	0.57	0.36
10	121	0.335	0.256	0.46	0.43
71	166	0.335	0.067	0.43	0.27
141	184	0.334	0.138	0.52	0.39
29	169	0.333	0.111	0.52	0.36
83	112	0.332	0.107	0.56	0.38
82	98	0.332	0.066	0.47	0.29
58	112	0.332	0.253	0.59	0.54
40	118	0.332	0.066	0.62	0.28
90	95	0.332	0.308	0.74	0.70
36	144	0.330	0.104	0.49	0.36
92	179	0.330	0.149	0.36	0.29
11	93	0.330	0.131	0.48	0.30
121	169	0.329	0.158	0.40	0.32
41	86	0.328	0.191	0.44	0.34
127	137	0.327	0.189	0.51	0.42
157	166	0.327	0.089	0.53	0.34
48	71	0.327	0.076	0.40	0.29
19	183	0.327	0.071	0.49	0.27
90	97	0.326	0.263	0.65	0.59
142	166	0.325	0.065	0.56	0.29
112	121	0.324	0.257	0.60	0.53
96	121	0.323	0.087	0.50	0.29
86	175	0.323	0.223	0.46	0.39
74	76	0.323	0.148	0.55	0.44
20	93	0.322	0.191	0.49	0.41
76	101	0.322	0.124	0.66	0.37
58	127	0.322	0.184	0.51	0.40
65	80	0.322	0.130	0.59	0.44
48	116	0.321	0.250	0.40	0.36
77	96	0.321	0.214	0.46	0.41
57	64	0.321	0.070	0.53	0.27
9	116	0.320	0.254	0.46	0.44
17	76	0.320	0.214	0.37	0.35
116	121	0.319	0.217	0.52	0.47
94	95	0.319	0.295	0.69	0.66
53	54	0.318	0.286	0.45	0.42
89	125	0.317	0.288	0.65	0.61
82	180	0.316	0.244	0.37	0.35
22	116	0.316	0.143	0.39	0.29
0	149	0.315	0.224	0.46	0.32
64	77	0.315	0.281	0.57	0.55
146	181	0.315	0.063	0.67	0.38
12	148	0.315	0.063	0.42	0.22
97	141	0.314	0.122	0.65	0.39
85	86	0.314	0.180	0.46	0.35
74	80	0.314	0.196	0.57	0.50
105	116	0.314	0.113	0.39	0.29
1	100	0.314	0.186	0.57	0.46
47	125	0.313	0.151	0.69	0.52
44	121	0.313	0.191	0.50	0.43
1	122	0.313	0.188	0.53	0.43
135	185	0.312	0.062	0.68	0.27
44	77	0.310	0.154	0.41	0.35
127	166	0.309	0.230	0.54	0.49
3	85	0.309	0.208	0.43	0.37
1	119	0.308	0.178	0.58	0.48
48	93	0.308	0.120	0.62	0.41
114	154	0.308	0.127	0.56	0.42
80	133	0.307	0.119	0.60	0.43
80	179	0.307	0.241	0.37	0.35
134	185	0.307	0.061	0.53	0.24
19	158	0.307	0.092	0.44	0.29
91	184	0.307	0.061	0.52	0.30
137	148	0.305	0.104	0.51	0.29
80	89	0.305	0.061	0.65	0.30
48	127	0.304	0.161	0.56	0.43
51	95	0.304	0.208	0.47	0.40
116	166	0.304	0.180	0.40	0.33
122	176	0.304	0.149	0.46	0.37
19	112	0.304	0.080	0.53	0.36
58	167	0.304	0.093	0.49	0.32
139	184	0.303	0.180	0.46	0.40
23	180	0.303	0.061	0.67	0.30
50	97	0.302	0.081	0.45	0.27
7	170	0.301	0.178	0.48	0.38
38	180	0.301	0.060	0.42	0.26
80	94	0.300	0.159	0.65	0.44
78	116	0.300	0.258	0.44	0.43
7	83	0.300	0.133	0.57	0.39
82	142	0.300	0.123	0.45	0.37
97	127	0.299	0.091	0.51	0.30
102	118	0.298	0.224	0.56	0.51
40	94	0.298	0.060	0.69	0.30
48	113	0.297	0.173	0.59	0.51
102	165	0.296	0.269	0.74	0.65
4	155	0.296	0.059	0.43	0.24
85	116	0.295	0.176	0.38	0.35
97	153	0.295	0.134	0.65	0.45
1	79	0.295	0.206	0.54	0.51
32	90	0.295	0.084	0.64	0.37
99	119	0.294	0.059	0.54	0.25
101	129	0.294	0.059	0.66	0.29
73	76	0.293	0.135	0.28	0.25
80	174	0.293	0.108	0.35	0.26
66	114	0.292	0.163	0.51	0.46
96	97	0.292	0.140	0.51	0.39
129	179	0.292	0.102	0.48	0.30
95	162	0.291	0.129	0.42	0.34
22	133	0.291	0.137	0.49	0.35
87	93	0.291	0.103	0.32	0.26
113	136	0.290	0.076	0.60	0.37
52	105	0.289	0.144	0.50	0.39
1	41	0.289	0.110	0.29	0.24
1	125	0.289	0.061	0.70	0.35
91	136	0.289	0.142	0.39	0.31
47	143	0.289	0.100	0.45	0.25
76	175	0.288	0.136	0.30	0.27
95	113	0.288	0.095	0.66	0.41
134	139	0.288	0.266	0.56	0.52
139	165	0.288	0.251	0.66	0.60
45	90	0.288	0.166	0.62	0.47
105	161	0.287	0.057	0.36	0.26
12	68	0.287	0.131	0.40	0.31
64	165	0.286	0.242	0.53	0.51
141	159	0.286	0.057	0.41	0.24
22	37	0.285	0.104	0.36	0.28
65	96	0.285	0.200	0.63	0.53
98	148	0.284	0.144	0.32	0.28
42	157	0.284	0.168	0.42	0.36
39	81	0.284	0.096	0.43	0.31
95	118	0.284	0.205	0.61	0.52
56	135	0.282	0.227	0.61	0.56
59	139	0.282	0.202	0.40	0.36
59	70	0.282	0.150	0.44	0.33
91	105	0.281	0.135	0.48	0.31
9	80	0.280	0.113	0.43	0.35
149	178	0.280	0.101	0.31	0.27
86	95	0.280	0.200	0.40	0.35
96	111	0.280	0.087	0.60	0.40
100	162	0.280	0.159	0.37	0.31
116	137	0.280	0.193	0.58	0.53
80	149	0.280	0.124	0.47	0.32
1	78	0.279	0.117	0.47	0.35
100	109	0.279	0.143	0.44	0.35
121	185	0.279	0.206	0.48	0.45
32	36	0.279	0.076	0.52	0.33
146	185	0.279	0.068	0.44	0.26
90	118	0.279	0.209	0.69	0.60
48	137	0.279	0.164	0.51	0.42
33	154	0.278	0.056	0.54	0.27
56	104	0.278	0.222	0.61	0.56
110	166	0.277	0.129	0.70	0.52
80	138	0.277	0.137	0.41	0.32
49	91	0.276	0.148	0.43	0.38
41	124	0.276	0.099	0.62	0.44
28	80	0.275	0.104	0.57	0.38
11	111	0.275	0.055	0.68	0.29
93	162	0.274	0.055	0.53	0.28
74	75	0.273	0.128	0.44	0.33
95	121	0.272	0.228	0.46	0.40
11	48	0.272	0.114	0.64	0.45
73	75	0.272	0.132	0.48	0.33
48	99	0.272	0.147	0.50	0.40
58	150	0.272	0.054	0.49	0.27
31	150	0.271	0.054	0.34	0.21
127	183	0.271	0.149	0.52	0.46
87	164	0.271	0.079	0.43	0.30
59	62	0.271	0.193	0.43	0.40
113	166	0.271	0.071	0.69	0.43
39	101	0.270	0.063	0.43	0.34
1	64	0.270	0.054	0.58	0.36
93	156	0.269	0.254	0.47	0.44
169	184	0.269	0.086	0.39	0.30
58	65	0.268	0.152	0.60	0.48
96	137	0.268	0.142	0.53	0.41
41	123	0.268	0.119	0.62	0.49
17	157	0.268	0.086	0.36	0.30
83	93	0.267	0.071	0.56	0.39
83	134	0.267	0.111	0.61	0.41
150	181	0.267	0.104	0.38	0.26
95	149	0.266	0.238	0.47	0.45
41	167	0.266	0.053	0.36	0.23
69	155	0.265	0.053	0.46	0.23
22	112	0.265	0.134	0.55	0.42
75	76	0.265	0.130	0.43	0.32
59	121	0.265	0.114	0.38	0.29
44	166	0.264	0.074	0.38	0.29
57	103	0.264	0.162	0.64	0.48
3	27	0.263	0.082	0.51	0.34
67	184	0.263	0.058	0.46	0.31
41	44	0.262	0.052	0.39	0.25
34	116	0.261	0.052	0.47	0.29
29	80	0.261	0.062	0.49	0.33
68	113	0.260	0.229	0.61	0.59
91	137	0.260	0.192	0.52	0.48
70	86	0.259	0.131	0.43	0.35
87	142	0.259	0.168	0.49	0.34
41	122	0.259	0.089	0.47	0.34
79	166	0.259	0.096	0.50	0.36
52	149	0.258	0.244	0.50	0.47
18	103	0.258	0.125	0.52	0.41
59	100	0.258	0.185	0.49	0.45
36	149	0.258	0.104	0.46	0.35
112	166	0.257	0.077	0.64	0.38
67	75	0.257	0.194	0.55	0.52
65	166	0.257	0.174	0.60	0.54
102	149	0.256	0.205	0.49	0.46
12	41	0.256	0.115	0.48	0.35
1	72	0.256	0.051	0.33	0.25
32	64	0.255	0.071	0.58	0.32
42	116	0.255	0.164	0.46	0.40
114	185	0.255	0.057	0.44	0.25
19	155	0.254	0.051	0.28	0.21
116	163	0.254	0.087	0.58	0.42
48	149	0.254	0.147	0.44	0.36
70	157	0.253	0.116	0.45	0.34
157	162	0.253	0.137	0.38	0.30
70	83	0.252	0.050	0.41	0.25
9	122	0.252	0.126	0.44	0.34
49	75	0.252	0.158	0.49	0.42
70	116	0.252	0.111	0.47	0.38
11	114	0.250	0.144	0.54	0.34
72	75	0.250	0.143	0.47	0.37
48	80	0.249	0.102	0.37	0.31
16	121	0.249	0.050	0.47	0.28
80	165	0.248	0.050	0.56	0.31
17	153	0.248	0.050	0.41	0.26
38	172	0.247	0.109	0.33	0.27
70	87	0.247	0.151	0.38	0.34
80	127	0.247	0.130	0.48	0.43
88	122	0.247	0.114	0.45	0.34
78	80	0.247	0.105	0.41	0.34
130	150	0.247	0.094	0.51	0.32
3	99	0.246	0.059	0.37	0.24
100	167	0.246	0.119	0.49	0.37
60	122	0.246	0.097	0.38	0.28
92	94	0.245	0.060	0.66	0.36
20	24	0.245	0.088	0.54	0.35
46	66	0.245	0.097	0.61	0.33
22	137	0.245	0.112	0.55	0.37
93	110	0.244	0.161	0.61	0.56
116	134	0.243	0.049	0.46	0.27
48	75	0.243	0.099	0.47	0.35
77	116	0.243	0.213	0.43	0.41
100	105	0.243	0.053	0.50	0.33
59	115	0.242	0.086	0.38	0.27
90	125	0.241	0.207	0.57	0.55
21	101	0.241	0.080	0.50	0.34
80	122	0.241	0.078	0.40	0.30
154	155	0.240	0.048	0.42	0.26
159	166	0.239	0.185	0.35	0.33
86	121	0.239	0.218	0.42	0.39
87	184	0.238	0.121	0.43	0.38
70	159	0.238	0.118	0.33	0.29
97	106	0.238	0.133	0.43	0.36
41	121	0.237	0.067	0.46	0.29
80	152	0.237	0.066	0.52	0.32
21	36	0.237	0.047	0.39	0.26
32	172	0.237	0.047	0.38	0.23
75	178	0.236	0.108	0.50	0.41
114	181	0.236	0.159	0.45	0.42
78	96	0.236	0.194	0.41	0.39
81	179	0.236	0.180	0.30	0.28
144	156	0.236	0.120	0.50	0.40
21	97	0.235	0.142	0.49	0.41
93	94	0.235	0.194	0.63	0.57
21	100	0.235	0.062	0.47	0.30
17	72	0.234	0.075	0.48	0.29
95	137	0.234	0.082	0.56	0.39
76	95	0.233	0.056	0.36	0.27
34	41	0.233	0.061	0.31	0.23
89	139	0.233	0.188	0.56	0.50
18	130	0.232	0.065	0.59	0.41
166	167	0.231	0.104	0.33	0.29
166	183	0.231	0.161	0.41	0.35
80	101	0.230	0.100	0.63	0.46
109	134	0.230	0.046	0.57	0.25
17	58	0.230	0.157	0.39	0.35
64	90	0.230	0.194	0.58	0.51
116	172	0.229	0.055	0.26	0.22
96	157	0.229	0.062	0.44	0.30
21	52	0.229	0.152	0.38	0.35
86	118	0.229	0.106	0.41	0.30
146	162	0.228	0.168	0.58	0.48
56	87	0.228	0.129	0.46	0.36
137	166	0.228	0.128	0.54	0.45
44	76	0.228	0.127	0.35	0.29
91	167	0.228	0.046	0.44	0.27
64	162	0.228	0.058	0.51	0.40
68	112	0.227	0.204	0.54	0.52
12	15	0.227	0.097	0.32	0.25
96	104	0.226	0.154	0.60	0.47
112	183	0.226	0.084	0.57	0.38
18	66	0.225	0.095	0.47	0.37
133	136	0.225	0.048	0.57	0.32
70	148	0.225	0.148	0.40	0.34
21	172	0.225	0.059	0.38	0.26
56	103	0.224	0.169	0.58	0.51
137	138	0.224	0.045	0.50	0.29
87	122	0.224	0.058	0.43	0.33
29	141	0.224	0.045	0.50	0.26
113	122	0.223	0.045	0.54	0.32
32	101	0.223	0.045	0.60	0.27
5	25	0.223	0.045	0.51	0.27
80	96	0.223	0.079	0.38	0.27
