i	j	iLIS_best	iLIS_avg	ipTM_best
8444	13296	0.706	0.339	0.72
11152	3761	0.706	0.221	0.74
12267	4801	0.706	0.058	0.57
11624	5027	0.705	0.305	0.73
517	9051	0.705	0.149	0.78
11152	4441	0.705	0.195	0.78
13066	3717	0.705	0.152	0.82
517	7686	0.705	0.591	0.71
10605	3761	0.705	0.156	0.75
12205	5053	0.705	0.662	0.76
7929	5020	0.705	0.070	0.71
7881	858	0.705	0.666	0.84
577	5372	0.705	0.152	0.65
2144	10746	0.705	0.050	0.81
12848	10707	0.704	0.516	0.80
12848	2382	0.704	0.141	0.85
12967	1530	0.704	0.617	0.91
8444	2883	0.704	0.141	0.72
2629	8640	0.703	0.141	0.81
858	7705	0.703	0.559	0.40
11152	5363	0.703	0.128	0.84
1865	7929	0.703	0.080	0.70
11152	4277	0.702	0.051	0.85
7929	4353	0.702	0.070	0.78
11624	2189	0.702	0.449	0.71
13875	4901	0.702	0.156	0.72
858	4543	0.702	0.355	0.72
8444	2625	0.702	0.140	0.70
9464	5438	0.702	0.678	0.64
7372	9464	0.701	0.197	0.71
12205	6360	0.701	0.412	0.81
1302	1447	0.701	0.269	0.68
8997	1914	0.701	0.404	0.84
577	5326	0.701	0.157	0.62
11152	5074	0.700	0.176	0.79
9413	5042	0.700	0.625	0.73
4680	517	0.700	0.645	0.77
10954	5027	0.700	0.140	0.63
10734	3979	0.700	0.631	0.76
2629	11152	0.700	0.175	0.79
10954	12382	0.700	0.409	0.69
10608	5097	0.700	0.290	0.84
517	7692	0.700	0.644	0.72
12205	4651	0.700	0.664	0.76
1769	13323	0.699	0.336	0.52
11152	11175	0.699	0.237	0.82
572	7688	0.699	0.234	0.66
858	2700	0.699	0.162	0.70
12717	5020	0.699	0.503	0.67
12717	11152	0.699	0.098	0.81
9464	6938	0.699	0.401	0.66
11152	4274	0.699	0.087	0.86
11624	7723	0.699	0.391	0.73
572	1774	0.699	0.101	0.46
11606	5155	0.699	0.175	0.69
12717	4949	0.699	0.512	0.60
7789	12370	0.699	0.184	0.79
8561	11161	0.699	0.209	0.79
8088	2628	0.698	0.538	0.74
6028	7929	0.698	0.305	0.82
9464	2376	0.698	0.409	0.75
11152	4284	0.698	0.108	0.81
858	1052	0.698	0.491	0.66
11152	9516	0.698	0.215	0.81
8640	5382	0.698	0.342	0.80
572	2700	0.698	0.401	0.67
9413	7112	0.698	0.426	0.73
11624	10901	0.698	0.677	0.76
1310	1447	0.697	0.537	0.77
95	572	0.697	0.125	0.43
82	1447	0.697	0.521	0.67
10954	9523	0.697	0.268	0.73
8217	5313	0.697	0.144	0.70
858	1530	0.697	0.516	0.57
8561	4467	0.697	0.544	0.72
659	7688	0.697	0.292	0.81
11093	7929	0.696	0.162	0.71
12203	7686	0.696	0.356	0.64
11624	5325	0.696	0.221	0.74
7237	9464	0.696	0.670	0.83
12717	5526	0.696	0.159	0.58
7929	747	0.696	0.180	0.71
12717	3695	0.696	0.556	0.78
265	5382	0.695	0.494	0.74
8155	9841	0.695	0.412	0.67
8640	7687	0.695	0.147	0.74
1898	13323	0.695	0.587	0.49
4540	13518	0.695	0.283	0.78
2953	10800	0.695	0.277	0.88
4782	5829	0.695	0.294	0.82
11253	4899	0.695	0.336	0.76
11624	5600	0.695	0.309	0.80
660	2679	0.694	0.274	0.78
840	7690	0.694	0.406	0.78
858	2196	0.694	0.217	0.44
11152	9462	0.694	0.111	0.83
6698	3819	0.694	0.153	0.61
1747	577	0.693	0.533	0.63
4697	5075	0.693	0.331	0.71
11152	11174	0.693	0.207	0.81
2627	13855	0.693	0.541	0.71
92	8147	0.693	0.445	0.86
6683	1872	0.693	0.189	0.66
662	4008	0.693	0.537	0.74
11624	1206	0.693	0.512	0.73
12444	7692	0.693	0.069	0.71
11152	8363	0.693	0.187	0.82
12205	12380	0.692	0.617	0.79
9464	1851	0.692	0.138	0.63
9650	6698	0.692	0.160	0.79
2457	7929	0.692	0.486	0.76
12717	7929	0.692	0.134	0.75
4903	10800	0.692	0.197	0.65
12203	5074	0.691	0.484	0.68
11624	7135	0.691	0.313	0.73
858	12368	0.691	0.274	0.60
92	10608	0.691	0.207	0.76
572	9841	0.691	0.375	0.64
572	9842	0.691	0.423	0.64
12142	12717	0.691	0.675	0.75
1480	11152	0.691	0.074	0.83
7833	12267	0.691	0.030	0.79
12203	12372	0.690	0.187	0.70
9871	3844	0.690	0.535	0.83
10955	12370	0.690	0.407	0.78
804	3979	0.690	0.387	0.78
2189	7929	0.690	0.181	0.73
10132	9413	0.690	0.151	0.68
1405	577	0.690	0.238	0.65
2883	11152	0.690	0.069	0.71
9205	2144	0.690	0.478	0.79
7888	3979	0.689	0.138	0.76
12717	4901	0.689	0.367	0.68
8219	3783	0.689	0.144	0.78
577	3561	0.689	0.144	0.76
13518	5188	0.689	0.634	0.79
11253	5526	0.689	0.052	0.76
11152	4334	0.689	0.166	0.81
10588	7929	0.689	0.137	0.76
12205	2307	0.689	0.571	0.40
11175	10800	0.689	0.168	0.79
6903	4403	0.689	0.138	0.80
11606	1747	0.689	0.046	0.64
12203	5155	0.688	0.186	0.62
12848	9047	0.688	0.519	0.88
858	12385	0.688	0.264	0.42
8363	577	0.688	0.147	0.77
13855	9233	0.688	0.184	0.85
7455	9464	0.688	0.612	0.62
7888	8933	0.688	0.505	0.80
13066	3484	0.688	0.333	0.80
2376	7929	0.688	0.083	0.71
8444	3759	0.688	0.389	0.73
13875	7688	0.688	0.174	0.66
7832	7686	0.688	0.083	0.69
11624	10726	0.687	0.145	0.74
10605	3499	0.687	0.459	0.73
12848	10588	0.687	0.176	0.84
12976	5112	0.687	0.148	0.81
11811	10605	0.687	0.227	0.79
11624	2382	0.687	0.443	0.75
12407	4061	0.687	0.514	0.83
11624	7690	0.687	0.371	0.63
11253	6079	0.687	0.058	0.80
1700	13323	0.686	0.265	0.47
11152	3819	0.686	0.101	0.73
1747	6698	0.686	0.410	0.70
12205	5018	0.686	0.344	0.82
12967	804	0.686	0.299	0.86
5586	1747	0.686	0.382	0.68
517	5248	0.686	0.137	0.76
572	3783	0.686	0.061	0.54
9464	9049	0.686	0.278	0.65
12205	4223	0.686	0.592	0.77
3546	5095	0.686	0.309	0.73
5315	10800	0.686	0.137	0.73
517	4782	0.685	0.652	0.81
7789	5531	0.685	0.154	0.56
12267	10730	0.685	0.378	0.80
2263	257	0.685	0.103	0.77
858	1747	0.685	0.248	0.61
11152	5071	0.685	0.064	0.79
12714	12894	0.685	0.511	0.81
10609	5097	0.684	0.410	0.81
5095	13518	0.684	0.337	0.75
858	4529	0.684	0.623	0.61
3185	8561	0.684	0.228	0.70
12371	10984	0.684	0.395	0.71
7880	11152	0.684	0.092	0.77
12717	5074	0.684	0.250	0.64
12205	4403	0.684	0.137	0.81
1351	5425	0.683	0.153	0.63
9055	8147	0.683	0.199	0.84
10605	9516	0.683	0.577	0.77
11624	2503	0.683	0.459	0.74
2786	517	0.683	0.319	0.74
5313	7696	0.683	0.315	0.69
6683	5368	0.683	0.269	0.60
12848	9520	0.683	0.269	0.90
5829	10488	0.682	0.187	0.79
7832	7688	0.682	0.084	0.69
6683	11174	0.682	0.155	0.78
858	1148	0.682	0.146	0.70
13875	4928	0.682	0.271	0.42
858	4901	0.682	0.595	0.76
3400	13855	0.682	0.276	0.75
9526	7929	0.681	0.167	0.75
11624	2205	0.681	0.612	0.74
13066	3761	0.681	0.303	0.83
8997	2428	0.681	0.136	0.79
8640	9047	0.681	0.211	0.84
257	5111	0.681	0.219	0.84
13993	2144	0.681	0.055	0.79
7929	7516	0.681	0.105	0.76
858	4015	0.681	0.136	0.76
12717	4269	0.680	0.141	0.76
3400	257	0.680	0.536	0.74
5095	7696	0.680	0.316	0.70
577	5132	0.680	0.170	0.71
1148	4252	0.680	0.136	0.79
1701	11152	0.680	0.180	0.80
8218	2057	0.680	0.234	0.92
4269	13518	0.680	0.271	0.78
5020	13475	0.680	0.045	0.77
517	7688	0.680	0.547	0.69
11079	8147	0.680	0.258	0.75
13395	6142	0.680	0.270	0.81
10749	13518	0.679	0.247	0.77
92	11152	0.679	0.147	0.76
11152	5013	0.679	0.188	0.77
8561	5181	0.679	0.185	0.68
2144	5075	0.679	0.045	0.77
6903	4543	0.679	0.204	0.63
265	4906	0.679	0.149	0.71
3404	11152	0.679	0.163	0.78
6516	7929	0.679	0.196	0.73
2824	3185	0.679	0.235	0.67
660	2396	0.678	0.411	0.68
9464	9233	0.678	0.342	0.83
10738	4856	0.678	0.286	0.82
13508	5829	0.677	0.529	0.82
8561	11159	0.677	0.182	0.76
8444	1057	0.677	0.395	0.64
9464	4284	0.677	0.516	0.75
11253	2084	0.677	0.267	0.79
12717	5097	0.677	0.140	0.51
2629	10955	0.677	0.135	0.79
12142	9387	0.677	0.659	0.74
8549	4519	0.677	0.288	0.54
8561	9053	0.677	0.524	0.79
8640	5469	0.677	0.175	0.80
10132	11152	0.677	0.116	0.77
858	5163	0.676	0.135	0.72
3298	11152	0.676	0.062	0.85
577	4274	0.676	0.400	0.75
8065	6698	0.676	0.390	0.85
572	5880	0.676	0.102	0.76
13323	5341	0.676	0.086	0.47
4541	257	0.676	0.278	0.80
471	13323	0.676	0.222	0.44
8549	2218	0.676	0.144	0.34
4632	8147	0.676	0.342	0.63
5074	13518	0.676	0.644	0.76
1551	6534	0.676	0.430	0.51
6076	5586	0.675	0.197	0.79
10609	5313	0.675	0.262	0.78
8561	12372	0.675	0.139	0.63
13323	5585	0.675	0.335	0.75
6698	2396	0.675	0.358	0.79
11253	3061	0.675	0.046	0.75
2629	13855	0.675	0.243	0.74
6806	13323	0.675	0.658	0.50
11253	2700	0.675	0.101	0.74
8640	4757	0.675	0.261	0.88
13875	4466	0.675	0.159	0.65
577	3759	0.675	0.308	0.66
7887	11152	0.675	0.215	0.76
858	12367	0.675	0.138	0.71
11152	4519	0.675	0.068	0.75
11253	4822	0.675	0.097	0.74
8640	4467	0.675	0.173	0.77
11624	7515	0.675	0.659	0.73
7889	1447	0.675	0.376	0.75
12848	8306	0.675	0.137	0.80
974	13066	0.674	0.237	0.83
10608	2887	0.674	0.285	0.76
13875	4540	0.674	0.135	0.62
3400	517	0.674	0.524	0.74
1351	5585	0.674	0.526	0.76
12267	5363	0.674	0.406	0.83
13296	9464	0.673	0.584	0.73
2629	7789	0.673	0.237	0.79
8444	7516	0.673	0.244	0.72
572	9050	0.673	0.107	0.44
9464	13664	0.673	0.616	0.86
6577	6409	0.673	0.361	0.66
11152	10589	0.673	0.096	0.79
8631	12713	0.673	0.440	0.54
12848	9049	0.673	0.270	0.84
9413	6840	0.673	0.135	0.64
6903	1530	0.673	0.135	0.78
7742	6903	0.673	0.158	0.80
2000	12894	0.673	0.118	0.52
2899	9953	0.672	0.170	0.80
10725	1447	0.672	0.143	0.78
9661	7929	0.672	0.067	0.77
659	7686	0.672	0.382	0.78
858	6613	0.672	0.410	0.50
6903	2786	0.672	0.280	0.61
2811	6577	0.672	0.134	0.72
11624	5095	0.672	0.351	0.69
3061	8147	0.672	0.327	0.66
7372	11152	0.672	0.110	0.73
12717	4545	0.672	0.313	0.67
11624	2494	0.672	0.574	0.74
8072	12689	0.672	0.134	0.80
8997	5117	0.672	0.178	0.73
4486	4856	0.672	0.580	0.56
6079	11152	0.672	0.153	0.78
1861	11152	0.671	0.065	0.80
10704	8640	0.671	0.629	0.83
8549	5891	0.671	0.284	0.78
13875	5042	0.671	0.134	0.72
572	2297	0.671	0.209	0.64
2613	8561	0.671	0.384	0.77
660	5097	0.671	0.424	0.66
10721	7929	0.671	0.182	0.71
858	5111	0.671	0.134	0.78
13217	3717	0.671	0.172	0.67
572	9047	0.671	0.158	0.43
11624	13695	0.670	0.293	0.75
11152	4911	0.670	0.037	0.79
8549	321	0.670	0.646	0.83
4061	4899	0.670	0.134	0.78
9464	5960	0.670	0.426	0.63
1705	11152	0.670	0.155	0.80
9872	9522	0.670	0.286	0.81
7690	13475	0.670	0.108	0.69
7889	6903	0.670	0.536	0.70
11152	12376	0.670	0.215	0.74
2628	1447	0.670	0.246	0.76
11624	12217	0.669	0.462	0.81
11152	1811	0.669	0.043	0.84
1148	11152	0.669	0.137	0.67
858	13295	0.669	0.134	0.72
858	4899	0.669	0.431	0.70
11162	9872	0.669	0.045	0.83
6338	12368	0.669	0.629	0.70
8549	3712	0.669	0.134	0.72
5586	1148	0.669	0.223	0.70
12717	3839	0.669	0.146	0.61
10954	5070	0.669	0.271	0.71
7883	7929	0.668	0.140	0.72
11152	9017	0.668	0.143	0.82
9520	7696	0.668	0.067	0.73
572	5438	0.668	0.254	0.44
6698	4537	0.668	0.134	0.71
2175	2533	0.668	0.134	0.68
3190	8640	0.668	0.345	0.85
11624	1785	0.668	0.626	0.77
2912	3443	0.668	0.134	0.85
13066	7096	0.668	0.470	0.82
7929	5230	0.668	0.082	0.66
572	9525	0.668	0.201	0.79
13695	12894	0.667	0.136	0.56
6903	2721	0.667	0.133	0.67
11152	4008	0.667	0.170	0.73
11152	5163	0.667	0.115	0.82
11253	1057	0.667	0.088	0.72
660	5248	0.667	0.382	0.68
6364	577	0.667	0.233	0.61
12408	577	0.667	0.437	0.71
1251	11152	0.667	0.068	0.85
12717	1747	0.667	0.249	0.53
8997	5075	0.667	0.493	0.74
8997	3457	0.667	0.242	0.73
3705	13475	0.667	0.142	0.78
8640	8627	0.667	0.192	0.80
12717	6364	0.667	0.469	0.47
9494	12717	0.667	0.287	0.57
1337	4856	0.667	0.404	0.34
6516	7789	0.666	0.518	0.80
6576	5440	0.666	0.238	0.52
10605	12382	0.666	0.164	0.75
11253	11079	0.666	0.115	0.71
11253	13829	0.666	0.046	0.67
8640	6364	0.666	0.335	0.83
11624	2700	0.666	0.526	0.68
3979	4497	0.666	0.451	0.76
8155	9842	0.666	0.365	0.67
10609	1676	0.666	0.120	0.85
1447	12372	0.666	0.133	0.72
9464	7687	0.665	0.254	0.65
8967	13181	0.665	0.620	0.74
8997	5527	0.665	0.375	0.74
13955	12894	0.665	0.138	0.74
8933	5020	0.665	0.133	0.74
6516	577	0.665	0.430	0.61
8304	6338	0.665	0.226	0.65
8640	2263	0.665	0.285	0.76
11624	9051	0.664	0.227	0.71
3974	13323	0.664	0.302	0.48
8375	5438	0.664	0.049	0.65
11253	6278	0.664	0.060	0.79
11152	3513	0.664	0.090	0.80
12203	12367	0.664	0.071	0.71
6448	12894	0.664	0.512	0.82
2899	3979	0.664	0.133	0.73
974	577	0.664	0.243	0.59
2144	6360	0.664	0.546	0.81
10610	4466	0.664	0.162	0.80
3061	8219	0.664	0.388	0.77
12205	5190	0.664	0.520	0.41
11811	858	0.664	0.299	0.43
577	12376	0.664	0.202	0.73
11152	12755	0.664	0.116	0.85
990	11152	0.664	0.153	0.87
8640	5229	0.663	0.280	0.78
10738	9188	0.663	0.628	0.79
660	4334	0.663	0.133	0.82
11811	8640	0.663	0.133	0.88
8640	5527	0.663	0.137	0.70
9953	10754	0.663	0.176	0.76
11253	10780	0.663	0.100	0.82
11154	11152	0.663	0.213	0.82
4337	806	0.663	0.403	0.81
2824	1507	0.663	0.343	0.71
12378	8147	0.663	0.383	0.73
5048	9188	0.663	0.258	0.64
9052	9598	0.662	0.482	0.57
1240	1447	0.662	0.140	0.66
8046	2700	0.662	0.518	0.78
1904	8374	0.662	0.282	0.84
3185	11152	0.662	0.133	0.77
8640	5224	0.662	0.251	0.82
1898	577	0.662	0.448	0.61
12203	12393	0.662	0.308	0.63
10708	5829	0.662	0.257	0.81
2343	11152	0.662	0.089	0.81
13695	4697	0.662	0.350	0.77
3546	7692	0.661	0.069	0.72
12717	2605	0.661	0.372	0.47
12248	12689	0.661	0.179	0.86
8217	4541	0.661	0.132	0.77
11253	6076	0.661	0.040	0.81
12848	9692	0.661	0.476	0.91
1811	10800	0.661	0.252	0.60
8065	11152	0.661	0.058	0.86
9516	3653	0.661	0.197	0.73
9927	13050	0.661	0.174	0.73
10132	1447	0.661	0.288	0.62
1677	3546	0.661	0.065	0.82
5315	13518	0.660	0.380	0.79
660	9053	0.660	0.386	0.67
11160	231	0.660	0.208	0.83
973	13066	0.660	0.256	0.81
2286	662	0.660	0.265	0.73
9871	9516	0.660	0.202	0.71
572	6364	0.660	0.142	0.44
6076	11152	0.660	0.105	0.81
11152	4903	0.659	0.045	0.77
6529	577	0.659	0.366	0.84
6903	11175	0.659	0.183	0.74
6801	10800	0.659	0.285	0.58
1447	4129	0.659	0.376	0.80
1480	8561	0.659	0.326	0.78
2144	4129	0.659	0.088	0.81
6577	4911	0.659	0.132	0.65
12848	4489	0.659	0.142	0.86
11080	3840	0.659	0.571	0.70
8561	4436	0.659	0.352	0.75
4466	13050	0.659	0.219	0.79
6409	7929	0.658	0.143	0.73
858	2627	0.658	0.196	0.68
11624	4338	0.658	0.260	0.77
13855	394	0.658	0.132	0.86
9872	7689	0.658	0.115	0.74
8967	11647	0.658	0.646	0.74
7929	4637	0.658	0.444	0.76
7929	12826	0.658	0.377	0.77
13217	1057	0.658	0.084	0.60
572	1747	0.658	0.199	0.60
11253	7686	0.658	0.027	0.72
11253	5714	0.658	0.024	0.84
12407	577	0.658	0.366	0.67
12848	2428	0.658	0.154	0.75
12976	1148	0.658	0.207	0.62
572	1851	0.658	0.046	0.57
7929	12382	0.658	0.176	0.69
4118	257	0.658	0.094	0.80
13855	5071	0.658	0.132	0.79
659	10746	0.658	0.263	0.83
6265	12374	0.658	0.431	0.84
12717	79	0.657	0.530	0.62
1615	4856	0.657	0.301	0.38
11253	2376	0.657	0.062	0.76
8444	7704	0.657	0.314	0.72
858	6820	0.657	0.131	0.74
12640	11152	0.657	0.058	0.82
6416	13323	0.657	0.248	0.49
8444	1914	0.657	0.142	0.75
11152	4318	0.657	0.199	0.71
12689	9047	0.657	0.184	0.80
12967	2564	0.657	0.050	0.79
572	5048	0.657	0.269	0.55
9464	12374	0.657	0.470	0.74
12205	2303	0.656	0.428	0.39
79	8147	0.656	0.347	0.82
9702	7929	0.656	0.300	0.83
5586	3759	0.656	0.070	0.72
2574	2179	0.656	0.131	0.70
10955	4334	0.656	0.131	0.78
3546	4822	0.656	0.135	0.72
97	13518	0.656	0.131	0.84
11253	3268	0.656	0.182	0.81
10609	10589	0.656	0.337	0.83
858	3400	0.656	0.171	0.71
9050	12894	0.656	0.302	0.50
7880	13749	0.656	0.280	0.73
572	8425	0.656	0.077	0.68
4537	10800	0.655	0.415	0.70
13323	5332	0.655	0.188	0.44
6765	577	0.655	0.353	0.75
858	13695	0.655	0.263	0.61
8155	3717	0.655	0.191	0.68
11253	12374	0.655	0.097	0.76
858	3246	0.655	0.279	0.77
2627	6698	0.655	0.207	0.71
858	5071	0.655	0.131	0.78
11624	3872	0.655	0.261	0.74
2218	9598	0.655	0.131	0.64
13517	12894	0.655	0.341	0.63
13855	9052	0.655	0.131	0.64
12717	7095	0.655	0.282	0.43
11624	10732	0.655	0.434	0.71
8997	3360	0.654	0.627	0.33
572	7	0.654	0.099	0.72
2679	2144	0.654	0.129	0.78
6338	5425	0.654	0.176	0.64
13066	3783	0.654	0.380	0.83
660	6360	0.654	0.131	0.81
257	5249	0.654	0.044	0.67
13250	9051	0.654	0.387	0.73
3400	13323	0.654	0.069	0.72
10610	7690	0.654	0.065	0.71
780	6516	0.654	0.593	0.81
5002	1351	0.654	0.205	0.65
8946	8947	0.654	0.575	0.54
7832	11151	0.654	0.598	0.67
12967	5262	0.653	0.027	0.86
2382	13518	0.653	0.137	0.80
780	3032	0.653	0.300	0.88
7890	9953	0.653	0.187	0.81
13066	7095	0.653	0.329	0.80
9413	1861	0.653	0.131	0.77
11253	5249	0.653	0.064	0.66
907	4856	0.653	0.096	0.37
9464	7243	0.653	0.183	0.81
11152	9432	0.653	0.121	0.53
8561	5372	0.653	0.264	0.72
5829	5729	0.653	0.413	0.79
6576	3484	0.653	0.235	0.79
7885	13875	0.653	0.382	0.68
9516	3979	0.653	0.229	0.73
12444	4906	0.653	0.345	0.68
3842	8627	0.653	0.131	0.69
11152	1502	0.653	0.044	0.82
10443	5095	0.653	0.304	0.86
5009	3842	0.653	0.627	0.85
572	13948	0.653	0.556	0.81
8269	5219	0.653	0.195	0.73
11152	3466	0.653	0.125	0.80
9464	907	0.653	0.431	0.63
2144	9522	0.652	0.084	0.71
10754	13050	0.652	0.588	0.81
12142	4928	0.652	0.130	0.68
10608	9516	0.652	0.146	0.81
3484	10800	0.652	0.286	0.73
8444	10756	0.652	0.130	0.70
6698	11025	0.652	0.540	0.68
6698	9094	0.652	0.192	0.67
858	10756	0.652	0.352	0.46
10954	12408	0.652	0.130	0.72
9656	10608	0.652	0.180	0.75
12717	2265	0.652	0.142	0.60
8444	1813	0.652	0.627	0.75
2953	3842	0.652	0.223	0.83
1447	9523	0.652	0.130	0.77
12203	7	0.651	0.071	0.66
11152	6725	0.651	0.139	0.81
1447	9522	0.651	0.579	0.65
11253	6244	0.651	0.049	0.61
11624	2857	0.651	0.582	0.71
13323	5438	0.651	0.258	0.46
11253	2625	0.651	0.095	0.75
8549	10746	0.651	0.488	0.75
13217	12368	0.651	0.213	0.63
1551	5115	0.651	0.507	0.72
3366	11152	0.651	0.182	0.67
8561	4333	0.651	0.329	0.82
