i	j	iLIS_best	iLIS_avg	ipTM_best
11864	11716	0.737	0.728	0.90
12499	10637	0.737	0.729	0.89
1713	4865	0.737	0.729	0.84
11715	11716	0.736	0.721	0.89
11714	11870	0.736	0.681	0.93
12500	10637	0.736	0.729	0.88
6294	12184	0.735	0.728	0.41
11714	11716	0.734	0.721	0.89
8898	6032	0.734	0.658	0.67
570	13361	0.734	0.664	0.35
11715	11870	0.734	0.709	0.93
10195	11870	0.734	0.717	0.93
11864	11870	0.733	0.722	0.94
9757	7464	0.733	0.711	0.90
7393	7392	0.732	0.727	0.93
8881	8882	0.731	0.717	0.23
10152	10154	0.730	0.717	0.95
8095	7390	0.730	0.662	0.45
12214	514	0.730	0.681	0.34
447	12214	0.729	0.695	0.34
11864	13480	0.728	0.721	0.92
7869	13178	0.727	0.710	0.71
9654	12946	0.727	0.706	0.80
11057	11059	0.726	0.640	0.87
9963	10265	0.726	0.700	0.29
9975	11588	0.726	0.687	0.36
6894	767	0.726	0.706	0.31
12041	7505	0.725	0.414	0.67
7868	13178	0.725	0.699	0.73
7927	286	0.724	0.656	0.41
7927	9415	0.724	0.667	0.41
12561	12558	0.724	0.678	0.79
7871	13178	0.724	0.706	0.58
8807	448	0.723	0.698	0.67
8806	448	0.723	0.698	0.67
328	12717	0.722	0.710	0.52
9663	683	0.722	0.717	0.68
12524	7915	0.720	0.709	0.85
12131	683	0.720	0.705	0.67
11864	11871	0.720	0.701	0.95
9683	820	0.720	0.696	0.35
13842	13817	0.720	0.714	0.40
12228	12140	0.720	0.696	0.34
8862	7390	0.719	0.696	0.40
12485	11165	0.718	0.537	0.60
13865	11323	0.718	0.707	0.93
11715	13480	0.718	0.710	0.90
11714	13480	0.718	0.708	0.90
514	7390	0.718	0.647	0.36
286	514	0.717	0.617	0.43
3158	3283	0.717	0.699	0.31
9583	13763	0.717	0.294	0.74
12265	13721	0.717	0.706	0.39
514	7520	0.717	0.562	0.32
286	7390	0.716	0.649	0.50
576	730	0.716	0.454	0.88
9415	7390	0.715	0.703	0.43
1009	6947	0.715	0.701	0.83
11204	10637	0.715	0.701	0.63
7083	7082	0.715	0.706	0.91
13276	7021	0.715	0.696	0.39
327	7805	0.714	0.673	0.59
13638	8424	0.713	0.696	0.38
8094	8092	0.712	0.695	0.84
10154	9535	0.712	0.693	0.86
13361	6623	0.712	0.681	0.37
11864	11884	0.711	0.661	0.95
1011	6947	0.711	0.695	0.81
12053	11717	0.710	0.696	0.91
11659	4751	0.710	0.704	0.69
998	13480	0.710	0.704	0.91
13624	12946	0.709	0.677	0.93
8562	9106	0.708	0.591	0.51
12166	7390	0.708	0.693	0.38
12933	934	0.708	0.700	0.48
13075	3044	0.708	0.690	0.75
10262	7869	0.708	0.694	0.75
8831	8762	0.707	0.602	0.70
12214	10265	0.707	0.691	0.39
11858	7459	0.707	0.675	0.31
5872	8964	0.707	0.531	0.75
13023	12780	0.707	0.693	0.72
8881	7028	0.706	0.615	0.27
11314	11303	0.706	0.697	0.85
13799	13406	0.704	0.665	0.59
7268	1009	0.704	0.699	0.92
43	7390	0.704	0.690	0.60
43	7927	0.704	0.662	0.53
6111	12558	0.704	0.666	0.81
12207	12558	0.704	0.678	0.77
11398	8995	0.704	0.693	0.85
10107	8734	0.703	0.368	0.45
7754	514	0.701	0.654	0.43
11864	7026	0.701	0.681	0.92
11395	1650	0.701	0.639	0.90
9963	12166	0.701	0.692	0.41
12919	8881	0.701	0.559	0.29
8929	514	0.700	0.585	0.33
13672	8915	0.700	0.672	0.58
13178	7867	0.700	0.681	0.68
1009	6946	0.700	0.691	0.91
325	2122	0.700	0.679	0.88
6384	9186	0.700	0.684	0.60
10573	545	0.699	0.638	0.88
1014	1015	0.699	0.669	0.92
11395	8995	0.699	0.682	0.91
11395	2801	0.698	0.687	0.91
10060	10054	0.698	0.692	0.80
11747	10297	0.698	0.171	0.87
7754	7390	0.698	0.632	0.46
7756	12214	0.697	0.544	0.47
9979	13717	0.697	0.680	0.85
1011	7273	0.697	0.669	0.93
8929	12214	0.696	0.652	0.35
7758	8712	0.696	0.669	0.48
11681	8033	0.696	0.676	0.84
7913	7915	0.696	0.679	0.85
794	8881	0.696	0.656	0.25
13713	13708	0.695	0.680	0.48
7664	8028	0.695	0.686	0.52
8146	1650	0.695	0.658	0.67
1821	5740	0.695	0.646	0.79
11321	7805	0.694	0.676	0.59
12214	7390	0.694	0.673	0.39
12499	10986	0.694	0.678	0.90
11395	8994	0.694	0.634	0.93
11626	11627	0.694	0.684	0.42
9324	9601	0.693	0.687	0.91
11864	13710	0.693	0.671	0.93
6930	6359	0.693	0.271	0.84
13369	13370	0.693	0.687	0.92
8036	945	0.692	0.668	0.53
11774	12500	0.692	0.658	0.89
8929	7627	0.692	0.660	0.34
7754	7751	0.692	0.643	0.40
8286	7563	0.691	0.685	0.89
9272	7173	0.691	0.663	0.34
12265	13956	0.691	0.682	0.39
7171	13917	0.691	0.645	0.29
7752	10457	0.691	0.637	0.62
7927	8861	0.690	0.644	0.53
941	939	0.690	0.685	0.92
11022	11023	0.690	0.680	0.84
9435	2710	0.690	0.681	0.85
13539	329	0.690	0.680	0.94
10415	13577	0.689	0.290	0.56
12361	12362	0.689	0.684	0.91
336	338	0.689	0.676	0.94
1180	6896	0.689	0.682	0.93
7751	7758	0.689	0.664	0.45
9727	9634	0.688	0.538	0.81
8898	8899	0.688	0.605	0.42
10262	7871	0.688	0.669	0.48
13037	12163	0.688	0.646	0.38
13123	13709	0.688	0.634	0.56
8954	12917	0.688	0.558	0.52
9363	12692	0.688	0.645	0.61
12968	11936	0.688	0.519	0.93
11715	11878	0.688	0.598	0.90
325	711	0.687	0.302	0.95
8905	6787	0.687	0.268	0.62
11714	11878	0.687	0.600	0.90
7754	7758	0.686	0.663	0.45
9915	9914	0.686	0.613	0.36
12499	9222	0.686	0.667	0.90
2247	12917	0.686	0.553	0.50
8002	479	0.686	0.659	0.40
12015	12004	0.686	0.661	0.83
12558	12551	0.685	0.383	0.78
12717	12862	0.685	0.619	0.33
12228	12939	0.685	0.671	0.41
6605	1427	0.684	0.615	0.43
13533	9626	0.684	0.660	0.67
10768	9118	0.684	0.676	0.51
1267	10940	0.684	0.672	0.32
8265	9596	0.683	0.616	0.91
11725	10679	0.683	0.664	0.96
9272	485	0.682	0.667	0.32
7259	7871	0.682	0.660	0.51
966	8315	0.682	0.661	0.91
2602	6678	0.682	0.672	0.45
11885	6640	0.682	0.382	0.75
7753	12214	0.681	0.628	0.46
12821	12822	0.681	0.640	0.81
5738	3283	0.681	0.622	0.44
12851	12984	0.681	0.658	0.94
998	13710	0.680	0.650	0.92
11026	8188	0.680	0.640	0.30
7751	7756	0.680	0.641	0.43
11983	11985	0.680	0.658	0.81
11836	9727	0.680	0.269	0.79
12933	8898	0.680	0.608	0.39
7756	514	0.680	0.526	0.46
11697	9931	0.679	0.517	0.79
4761	12140	0.679	0.500	0.37
7754	7757	0.678	0.660	0.50
11696	9981	0.678	0.665	0.78
7914	7915	0.678	0.635	0.81
7229	732	0.678	0.474	0.37
7758	12214	0.678	0.529	0.44
39	8964	0.677	0.663	0.84
11117	11116	0.677	0.639	0.80
7432	7433	0.677	0.571	0.53
7749	12214	0.677	0.632	0.41
8562	9079	0.677	0.621	0.48
11395	11455	0.676	0.659	0.90
7754	286	0.676	0.651	0.41
11715	13710	0.676	0.618	0.91
10195	13710	0.675	0.587	0.92
8782	8057	0.675	0.386	0.67
7941	8562	0.675	0.590	0.50
7163	7162	0.675	0.656	0.77
12000	12005	0.674	0.290	0.82
7730	2353	0.674	0.645	0.32
13534	13533	0.674	0.656	0.64
11714	7026	0.674	0.631	0.91
6890	334	0.674	0.649	0.29
8200	8201	0.673	0.633	0.35
7611	7766	0.673	0.653	0.53
7753	514	0.673	0.569	0.41
9601	2833	0.673	0.641	0.88
12907	11699	0.672	0.624	0.89
936	11029	0.672	0.656	0.94
8562	12541	0.672	0.368	0.48
341	339	0.671	0.665	0.96
1170	1487	0.671	0.667	0.90
11398	11455	0.671	0.663	0.85
7399	8289	0.671	0.646	0.71
11741	11743	0.671	0.660	0.89
9186	13931	0.671	0.660	0.79
10551	6468	0.671	0.643	0.37
8562	563	0.671	0.640	0.50
12499	8197	0.671	0.643	0.91
812	813	0.671	0.407	0.96
11714	8337	0.671	0.658	0.93
576	10929	0.671	0.249	0.89
9383	12521	0.670	0.134	0.27
9553	7676	0.670	0.529	0.63
11394	8994	0.670	0.649	0.93
10353	10362	0.670	0.647	0.82
13519	3407	0.670	0.653	0.81
6867	9727	0.670	0.143	0.81
11696	11917	0.670	0.658	0.77
7927	12166	0.669	0.632	0.43
12228	11575	0.669	0.648	0.43
13797	13803	0.669	0.650	0.87
7758	7390	0.669	0.263	0.46
10919	13709	0.669	0.584	0.59
11691	13883	0.669	0.621	0.80
43	7756	0.668	0.651	0.52
12349	13867	0.668	0.603	0.86
9272	2491	0.668	0.556	0.65
43	7749	0.668	0.648	0.52
10359	10357	0.668	0.659	0.65
9987	12614	0.667	0.640	0.71
11398	11323	0.667	0.537	0.88
8625	7915	0.667	0.633	0.81
8158	13408	0.667	0.579	0.87
10344	3361	0.667	0.623	0.90
11864	11879	0.666	0.627	0.92
11678	8033	0.666	0.307	0.77
11624	13217	0.666	0.648	0.61
8562	8576	0.666	0.606	0.49
13075	1181	0.666	0.656	0.75
11747	11754	0.666	0.570	0.85
129	127	0.665	0.659	0.44
11984	11998	0.665	0.661	0.69
11731	11911	0.665	0.647	0.86
8615	11823	0.665	0.638	0.60
10153	7062	0.665	0.652	0.79
43	8929	0.664	0.643	0.56
8896	12658	0.664	0.649	0.63
11900	9546	0.664	0.633	0.34
13784	328	0.664	0.267	0.54
13095	13032	0.664	0.617	0.56
7627	8712	0.664	0.618	0.37
1009	7273	0.664	0.652	0.93
11108	874	0.664	0.633	0.54
10154	7064	0.663	0.616	0.80
8328	12604	0.662	0.302	0.59
6893	1003	0.662	0.633	0.63
7927	10452	0.662	0.642	0.43
3135	11293	0.662	0.599	0.76
12777	12778	0.662	0.649	0.96
7942	8562	0.661	0.382	0.50
12240	12366	0.661	0.618	0.27
12053	12062	0.660	0.307	0.53
9272	9301	0.660	0.653	0.34
11930	73	0.660	0.581	0.35
358	13540	0.660	0.630	0.92
2566	573	0.660	0.132	0.69
8615	9272	0.659	0.645	0.35
13025	7761	0.659	0.553	0.82
11152	11155	0.659	0.623	0.82
7432	367	0.659	0.641	0.38
7922	7921	0.659	0.632	0.69
11001	3283	0.659	0.627	0.33
8009	8965	0.659	0.637	0.52
11395	8307	0.658	0.635	0.93
278	13906	0.658	0.639	0.50
13210	12509	0.658	0.585	0.33
8615	7173	0.658	0.634	0.35
11776	11383	0.658	0.350	0.83
998	11877	0.658	0.636	0.91
1018	7278	0.658	0.608	0.86
9085	7773	0.658	0.608	0.43
7793	13672	0.658	0.632	0.59
9972	13867	0.657	0.631	0.80
11013	12286	0.657	0.598	0.31
13796	3351	0.656	0.645	0.68
7754	7753	0.656	0.628	0.47
8146	11323	0.656	0.627	0.72
13800	13802	0.656	0.648	0.95
11676	12907	0.656	0.615	0.89
8562	7593	0.656	0.340	0.48
7861	7862	0.656	0.645	0.88
12966	13672	0.656	0.549	0.55
11864	7375	0.656	0.537	0.93
11398	8308	0.655	0.606	0.88
7981	2930	0.654	0.623	0.55
13998	10779	0.654	0.629	0.33
8018	12487	0.654	0.569	0.48
13037	13024	0.654	0.252	0.54
7743	945	0.654	0.608	0.45
13153	9985	0.653	0.630	0.71
11395	8308	0.653	0.645	0.93
812	811	0.653	0.636	0.96
9282	6490	0.653	0.639	0.66
11347	11349	0.653	0.641	0.48
37	13407	0.653	0.598	0.29
11677	13081	0.652	0.635	0.79
7751	7757	0.652	0.638	0.48
6506	10537	0.652	0.621	0.33
13217	13881	0.652	0.609	0.58
8967	727	0.652	0.499	0.85
24	573	0.652	0.440	0.80
899	11400	0.652	0.643	0.90
1746	1444	0.651	0.643	0.51
10779	5738	0.651	0.637	0.34
8782	8762	0.651	0.560	0.67
13801	13793	0.651	0.631	0.91
447	7753	0.651	0.572	0.45
11263	3746	0.651	0.626	0.44
7530	7650	0.651	0.644	0.65
3391	9011	0.651	0.631	0.29
12203	13881	0.650	0.604	0.59
11823	11822	0.650	0.643	0.67
13095	13024	0.650	0.607	0.57
8720	734	0.650	0.485	0.46
9371	6524	0.650	0.540	0.86
10359	10383	0.650	0.633	0.78
10974	9530	0.650	0.638	0.59
11864	8178	0.649	0.629	0.93
13406	13804	0.649	0.632	0.54
9983	699	0.649	0.642	0.64
9067	9050	0.648	0.159	0.69
359	353	0.648	0.603	0.43
11864	719	0.648	0.416	0.78
13167	10413	0.648	0.638	0.85
12022	11720	0.648	0.535	0.36
12933	13563	0.648	0.610	0.43
9979	13113	0.647	0.615	0.91
12093	10209	0.647	0.635	0.89
12050	11985	0.647	0.225	0.80
11864	12251	0.647	0.552	0.92
7730	3391	0.647	0.636	0.30
934	8734	0.647	0.561	0.50
12228	11164	0.647	0.619	0.40
11747	12667	0.647	0.238	0.78
12657	13475	0.647	0.637	0.88
7874	7867	0.646	0.547	0.77
10329	10418	0.646	0.640	0.57
11398	13663	0.646	0.574	0.84
10547	12357	0.646	0.639	0.60
7650	7646	0.646	0.621	0.43
11747	13664	0.646	0.129	0.84
7531	7650	0.646	0.639	0.46
36	8898	0.646	0.365	0.33
13577	10596	0.646	0.625	0.67
7866	7874	0.645	0.622	0.73
9964	9572	0.645	0.383	0.90
11741	11213	0.645	0.602	0.90
6129	5712	0.645	0.589	0.33
8967	13181	0.645	0.602	0.89
9630	9635	0.645	0.172	0.75
11624	114	0.645	0.592	0.43
890	892	0.645	0.353	0.89
12293	268	0.644	0.607	0.81
11398	8307	0.644	0.563	0.87
9272	486	0.644	0.635	0.31
11394	3687	0.644	0.600	0.84
43	7753	0.644	0.563	0.51
8562	582	0.644	0.472	0.49
954	8035	0.644	0.615	0.52
8562	8702	0.644	0.602	0.47
13041	504	0.644	0.553	0.90
8919	12177	0.643	0.598	0.63
12050	11988	0.643	0.176	0.81
11697	8006	0.643	0.627	0.79
8562	7753	0.643	0.477	0.47
7268	1011	0.643	0.633	0.89
9568	10652	0.642	0.630	0.77
5765	13546	0.642	0.602	0.86
1534	6235	0.642	0.609	0.47
11677	11694	0.642	0.128	0.78
11001	6298	0.642	0.599	0.34
7757	7758	0.642	0.625	0.51
7530	7643	0.641	0.630	0.65
12430	8720	0.641	0.632	0.48
12599	7739	0.641	0.613	0.59
890	6605	0.641	0.610	0.88
10689	10686	0.641	0.616	0.94
8967	11647	0.640	0.594	0.65
7531	7643	0.640	0.623	0.44
6468	4131	0.640	0.625	0.30
7756	7390	0.640	0.130	0.48
7528	7650	0.640	0.634	0.56
9847	9849	0.640	0.625	0.78
7760	10573	0.640	0.589	0.82
10288	10290	0.640	0.621	0.82
6373	13464	0.639	0.622	0.87
12485	2194	0.639	0.560	0.61
9713	9246	0.639	0.502	0.28
13717	13113	0.639	0.619	0.87
9915	866	0.639	0.628	0.91
11578	12516	0.638	0.618	0.75
7766	11763	0.638	0.629	0.50
7533	7650	0.638	0.631	0.46
646	13331	0.638	0.595	0.87
6928	6906	0.638	0.528	0.72
13769	3795	0.638	0.211	0.33
13998	9667	0.638	0.596	0.36
12775	13850	0.638	0.598	0.80
7753	7756	0.638	0.605	0.46
2900	9333	0.637	0.631	0.75
7530	7646	0.637	0.623	0.67
12624	12630	0.637	0.634	0.77
10163	866	0.637	0.602	0.90
10381	10356	0.637	0.607	0.72
8562	7749	0.636	0.530	0.47
7869	8378	0.636	0.610	0.78
11988	11996	0.636	0.596	0.86
11840	10577	0.636	0.627	0.41
8018	12632	0.636	0.607	0.47
9654	13253	0.635	0.580	0.94
11402	11652	0.635	0.208	0.84
2366	7823	0.635	0.622	0.69
12002	11969	0.635	0.183	0.73
383	7815	0.635	0.572	0.91
865	864	0.634	0.612	0.59
10576	10575	0.634	0.566	0.81
11530	11529	0.634	0.528	0.86
447	7756	0.634	0.626	0.49
11747	11019	0.634	0.231	0.83
998	13842	0.634	0.602	0.85
11999	12011	0.634	0.599	0.67
9994	8663	0.633	0.610	0.71
8946	8947	0.633	0.568	0.55
998	9740	0.633	0.608	0.88
7431	7671	0.633	0.590	0.74
12214	7627	0.633	0.586	0.35
7076	9975	0.633	0.566	0.40
8562	7756	0.633	0.408	0.47
383	386	0.633	0.575	0.87
11394	8308	0.633	0.624	0.93
12028	12026	0.633	0.605	0.37
7763	12938	0.633	0.620	0.73
11026	13095	0.633	0.377	0.54
5909	14014	0.632	0.612	0.88
1020	9093	0.632	0.343	0.85
7506	11152	0.632	0.152	0.40
8131	11747	0.632	0.126	0.81
7261	13405	0.631	0.550	0.68
13037	13022	0.631	0.452	0.44
13221	10935	0.631	0.606	0.48
7395	10265	0.631	0.175	0.27
8562	11935	0.631	0.421	0.47
10329	13764	0.631	0.610	0.66
39	12222	0.631	0.616	0.38
8264	8301	0.631	0.608	0.86
11697	13085	0.631	0.609	0.79
10212	13898	0.630	0.243	0.92
11264	13162	0.630	0.532	0.25
572	13881	0.630	0.575	0.55
13095	13153	0.630	0.519	0.73
11714	8178	0.630	0.606	0.92
548	9078	0.630	0.609	0.90
9770	9633	0.630	0.604	0.78
12265	13162	0.630	0.542	0.39
13221	2727	0.630	0.606	0.51
1388	9000	0.630	0.482	0.38
7633	7532	0.630	0.602	0.50
7530	7632	0.630	0.615	0.65
9301	13816	0.630	0.603	0.28
8982	11718	0.629	0.622	0.85
7528	7643	0.629	0.621	0.56
7533	7643	0.629	0.621	0.46
9300	9299	0.629	0.609	0.33
11165	11575	0.629	0.599	0.34
7633	7522	0.629	0.621	0.50
12858	12053	0.629	0.577	0.72
11624	572	0.629	0.602	0.61
13477	566	0.629	0.148	0.47
6948	13392	0.628	0.603	0.92
7702	8227	0.628	0.608	0.60
8831	866	0.628	0.564	0.81
5009	11346	0.628	0.564	0.83
11165	12939	0.628	0.596	0.34
11378	7555	0.628	0.588	0.84
42	10511	0.628	0.594	0.67
7648	7533	0.628	0.613	0.55
7982	9079	0.628	0.319	0.77
9898	6863	0.627	0.459	0.68
11696	11706	0.627	0.607	0.78
890	11889	0.627	0.587	0.84
12005	11979	0.627	0.238	0.79
7528	7646	0.627	0.612	0.58
9667	13328	0.627	0.578	0.32
7530	7647	0.627	0.618	0.64
9916	866	0.627	0.597	0.87
8643	9901	0.627	0.228	0.44
13037	13033	0.627	0.615	0.75
11395	10562	0.627	0.597	0.91
7816	7905	0.627	0.471	0.82
10156	10357	0.627	0.615	0.81
7533	7646	0.626	0.614	0.48
13519	10987	0.626	0.429	0.78
12033	12023	0.626	0.615	0.72
8615	11822	0.626	0.579	0.36
11747	11213	0.626	0.589	0.88
7252	11945	0.626	0.604	0.68
11747	873	0.625	0.328	0.86
11885	11880	0.625	0.510	0.82
11280	11864	0.625	0.586	0.87
13006	12596	0.625	0.604	0.73
9685	6982	0.625	0.610	0.84
11273	11277	0.625	0.539	0.87
998	5977	0.625	0.597	0.84
6989	12296	0.625	0.597	0.91
7754	8562	0.625	0.229	0.46
11139	7278	0.625	0.603	0.65
10152	7058	0.625	0.586	0.87
12928	13865	0.624	0.456	0.93
7528	7632	0.624	0.611	0.57
12938	866	0.624	0.612	0.90
8929	7749	0.624	0.600	0.54
11277	1523	0.624	0.496	0.87
13005	12596	0.624	0.603	0.71
11559	3354	0.623	0.529	0.80
8782	8831	0.623	0.373	0.60
10869	10868	0.623	0.613	0.90
11026	7765	0.623	0.478	0.27
11329	11328	0.623	0.603	0.77
7632	7533	0.623	0.610	0.52
7841	7842	0.623	0.601	0.87
10263	8919	0.623	0.284	0.38
759	9078	0.623	0.574	0.33
12821	12815	0.623	0.607	0.63
11164	12939	0.622	0.604	0.34
882	6928	0.622	0.568	0.49
8146	12721	0.622	0.565	0.67
998	11881	0.622	0.476	0.94
13665	11108	0.622	0.418	0.54
13175	13177	0.622	0.599	0.60
11108	1308	0.621	0.535	0.83
437	2379	0.621	0.575	0.88
998	11880	0.621	0.591	0.82
8562	8017	0.621	0.188	0.51
11741	11749	0.621	0.578	0.91
9734	10621	0.621	0.598	0.38
9091	11250	0.621	0.471	0.61
998	13083	0.620	0.414	0.84
7632	7531	0.620	0.552	0.52
8146	10502	0.620	0.523	0.70
11746	11844	0.620	0.536	0.87
11995	11990	0.620	0.548	0.73
7533	7647	0.620	0.610	0.53
7229	8098	0.620	0.429	0.36
2167	2237	0.620	0.498	0.90
10156	10158	0.620	0.596	0.84
10250	12547	0.620	0.599	0.87
1108	13998	0.620	0.588	0.35
12135	7273	0.620	0.607	0.45
8720	383	0.619	0.267	0.83
13037	13023	0.619	0.267	0.57
12984	7164	0.619	0.604	0.51
13949	8737	0.619	0.604	0.48
12933	8808	0.619	0.440	0.32
12933	8824	0.619	0.440	0.32
7528	7647	0.618	0.609	0.55
6928	866	0.618	0.564	0.79
12601	11459	0.618	0.520	0.50
8537	1442	0.618	0.604	0.25
8275	8546	0.618	0.609	0.92
383	444	0.618	0.561	0.92
8562	13786	0.618	0.335	0.49
1443	1442	0.618	0.609	0.26
8562	8727	0.618	0.592	0.47
7754	9366	0.618	0.352	0.41
7649	7532	0.618	0.596	0.52
8713	12551	0.617	0.591	0.42
11747	8892	0.617	0.246	0.77
12931	12946	0.617	0.501	0.85
12071	12069	0.617	0.242	0.65
12827	11564	0.617	0.535	0.74
8831	8783	0.617	0.573	0.64
8056	8806	0.616	0.548	0.58
890	11302	0.616	0.474	0.94
1207	713	0.616	0.569	0.57
8641	7219	0.616	0.400	0.67
8266	11289	0.616	0.554	0.82
11681	3090	0.616	0.540	0.84
3320	9634	0.616	0.215	0.74
447	7390	0.616	0.601	0.36
1267	6844	0.616	0.604	0.29
550	9078	0.616	0.570	0.41
7649	7522	0.616	0.601	0.51
7530	7648	0.615	0.610	0.65
279	10607	0.615	0.600	0.79
890	9307	0.615	0.567	0.93
7746	13207	0.615	0.608	0.73
8146	8307	0.615	0.546	0.68
7183	2738	0.614	0.593	0.54
11807	6803	0.614	0.572	0.36
268	12598	0.614	0.530	0.81
12594	7784	0.614	0.533	0.52
13519	7949	0.614	0.539	0.74
7214	12984	0.614	0.596	0.32
7873	7868	0.614	0.579	0.79
11681	9003	0.614	0.586	0.82
12499	8068	0.613	0.593	0.94
8873	9543	0.613	0.592	0.64
6964	8113	0.613	0.533	0.33
12597	13005	0.613	0.590	0.70
727	12002	0.613	0.135	0.54
11983	12059	0.612	0.122	0.70
11181	8729	0.612	0.122	0.73
7055	7067	0.612	0.555	0.45
7756	7757	0.612	0.603	0.50
6025	9958	0.611	0.324	0.76
449	10013	0.611	0.360	0.69
11678	8006	0.611	0.598	0.76
1746	2501	0.611	0.604	0.44
11678	11706	0.611	0.584	0.79
12290	12299	0.611	0.599	0.84
9973	13664	0.610	0.597	0.89
13784	334	0.610	0.135	0.26
13155	13347	0.610	0.568	0.73
8171	10453	0.610	0.567	0.59
11152	11159	0.610	0.218	0.86
6315	810	0.610	0.485	0.83
7280	8964	0.610	0.604	0.91
12599	714	0.610	0.535	0.55
11390	11615	0.609	0.365	0.41
7528	7648	0.609	0.606	0.56
11818	9958	0.609	0.529	0.41
10970	13983	0.609	0.285	0.44
8322	128	0.609	0.594	0.54
8562	7751	0.609	0.328	0.46
11394	10562	0.609	0.567	0.91
11505	11506	0.608	0.598	0.88
10117	10115	0.608	0.532	0.58
12338	8663	0.608	0.569	0.77
10958	3147	0.608	0.564	0.82
10971	13859	0.608	0.585	0.70
7970	7505	0.608	0.451	0.81
11164	11575	0.608	0.587	0.34
9707	12925	0.608	0.512	0.74
5770	13828	0.607	0.413	0.84
4400	9365	0.607	0.584	0.93
13374	504	0.607	0.592	0.89
7873	7869	0.607	0.571	0.78
7024	7044	0.607	0.556	0.55
9800	8727	0.607	0.444	0.30
7432	7798	0.607	0.563	0.45
11395	13663	0.606	0.570	0.89
7765	7766	0.606	0.535	0.34
13095	362	0.606	0.132	0.51
11900	10265	0.606	0.440	0.30
13684	1446	0.606	0.570	0.52
13037	126	0.606	0.451	0.49
9011	5712	0.605	0.536	0.44
12470	866	0.605	0.578	0.91
461	11752	0.605	0.562	0.34
399	8312	0.605	0.518	0.87
7651	7532	0.605	0.598	0.56
12791	7659	0.605	0.581	0.61
795	10100	0.604	0.571	0.35
7648	7649	0.604	0.572	0.54
4950	8908	0.604	0.411	0.55
1011	7277	0.604	0.572	0.82
11681	4052	0.604	0.527	0.79
8264	9596	0.604	0.529	0.89
11731	11844	0.604	0.580	0.86
7138	13773	0.604	0.121	0.49
5838	1617	0.604	0.269	0.31
272	11901	0.603	0.360	0.82
13546	13985	0.603	0.585	0.90
9053	9541	0.603	0.569	0.71
447	7749	0.603	0.543	0.42
13338	9727	0.603	0.553	0.85
7652	7527	0.603	0.573	0.57
11253	13846	0.603	0.379	0.68
8339	2947	0.603	0.325	0.43
9315	6982	0.603	0.537	0.68
313	6323	0.603	0.550	0.83
5009	12558	0.603	0.140	0.81
7751	7390	0.603	0.485	0.52
8724	328	0.603	0.218	0.52
10532	4718	0.603	0.586	0.71
7557	837	0.602	0.401	0.34
11624	13267	0.602	0.120	0.23
12654	11747	0.602	0.561	0.88
13352	13163	0.602	0.590	0.60
