i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
200	212	0.531	0.432	0.79	0.73
54	195	0.529	0.174	0.76	0.46
128	197	0.529	0.492	0.52	0.51
68	222	0.528	0.199	0.39	0.31
202	241	0.527	0.499	0.79	0.77
23	47	0.526	0.480	0.70	0.67
38	66	0.526	0.138	0.31	0.24
48	241	0.526	0.489	0.76	0.74
44	122	0.524	0.249	0.46	0.37
85	194	0.522	0.352	0.81	0.70
108	141	0.521	0.489	0.69	0.68
43	136	0.520	0.104	0.40	0.22
8	94	0.520	0.456	0.40	0.39
79	112	0.519	0.155	0.78	0.46
66	190	0.518	0.348	0.29	0.26
132	200	0.518	0.231	0.79	0.47
20	170	0.516	0.221	0.46	0.31
112	136	0.515	0.103	0.41	0.23
157	200	0.515	0.440	0.72	0.69
79	137	0.514	0.177	0.81	0.59
166	230	0.514	0.222	0.77	0.59
59	181	0.512	0.275	0.59	0.46
114	170	0.512	0.468	0.44	0.43
30	48	0.510	0.479	0.74	0.73
23	43	0.509	0.423	0.34	0.25
195	200	0.509	0.412	0.77	0.72
66	181	0.508	0.470	0.58	0.56
157	220	0.506	0.486	0.72	0.71
91	202	0.506	0.466	0.82	0.79
26	108	0.505	0.380	0.35	0.34
19	194	0.503	0.157	0.79	0.40
20	53	0.502	0.185	0.52	0.31
39	190	0.500	0.175	0.38	0.28
114	238	0.499	0.438	0.57	0.55
77	215	0.497	0.327	0.65	0.51
67	171	0.496	0.211	0.76	0.57
14	221	0.496	0.166	0.73	0.41
15	79	0.496	0.437	0.78	0.71
88	126	0.495	0.250	0.70	0.49
110	244	0.495	0.331	0.24	0.21
14	101	0.494	0.099	0.74	0.29
23	97	0.494	0.099	0.51	0.24
67	108	0.493	0.360	0.35	0.33
12	178	0.493	0.194	0.76	0.45
78	101	0.492	0.455	0.71	0.68
57	114	0.491	0.452	0.78	0.75
1	78	0.491	0.172	0.53	0.34
23	130	0.490	0.458	0.72	0.69
30	185	0.490	0.453	0.75	0.74
68	190	0.489	0.241	0.38	0.29
87	122	0.489	0.201	0.44	0.34
66	76	0.488	0.181	0.26	0.22
57	67	0.487	0.311	0.81	0.73
23	79	0.486	0.433	0.77	0.71
20	221	0.486	0.206	0.71	0.39
6	20	0.484	0.392	0.59	0.48
30	131	0.484	0.430	0.73	0.71
67	166	0.484	0.232	0.77	0.60
64	226	0.484	0.365	0.27	0.26
10	70	0.483	0.338	0.41	0.39
23	155	0.483	0.150	0.50	0.32
43	171	0.482	0.118	0.70	0.33
30	41	0.482	0.450	0.72	0.70
122	202	0.481	0.466	0.81	0.79
81	143	0.480	0.247	0.52	0.41
23	108	0.480	0.100	0.61	0.32
90	235	0.478	0.372	0.66	0.60
185	241	0.478	0.461	0.72	0.71
15	47	0.478	0.432	0.69	0.65
20	238	0.478	0.390	0.60	0.50
53	170	0.477	0.294	0.45	0.40
14	43	0.477	0.291	0.53	0.47
115	238	0.475	0.338	0.58	0.50
41	241	0.474	0.458	0.75	0.74
183	185	0.474	0.422	0.78	0.73
68	216	0.474	0.372	0.50	0.50
159	202	0.474	0.315	0.81	0.66
43	129	0.473	0.220	0.70	0.42
131	200	0.473	0.375	0.72	0.67
30	70	0.472	0.278	0.44	0.37
85	181	0.471	0.417	0.57	0.54
200	241	0.471	0.218	0.73	0.45
166	235	0.471	0.238	0.76	0.61
24	66	0.471	0.169	0.49	0.33
26	170	0.471	0.280	0.51	0.45
15	155	0.470	0.103	0.50	0.29
54	231	0.470	0.240	0.71	0.51
67	217	0.470	0.162	0.70	0.48
14	203	0.469	0.122	0.73	0.36
47	54	0.469	0.246	0.63	0.45
149	209	0.467	0.186	0.69	0.42
66	180	0.466	0.274	0.63	0.51
159	226	0.466	0.273	0.27	0.25
4	214	0.466	0.354	0.55	0.49
60	180	0.465	0.130	0.68	0.44
43	61	0.462	0.092	0.61	0.29
6	94	0.462	0.283	0.60	0.49
48	235	0.461	0.250	0.65	0.50
90	117	0.461	0.398	0.68	0.64
54	88	0.460	0.092	0.48	0.20
231	250	0.459	0.241	0.76	0.52
126	149	0.458	0.271	0.65	0.54
26	238	0.458	0.274	0.66	0.58
91	170	0.458	0.175	0.47	0.36
4	190	0.458	0.154	0.37	0.27
39	134	0.457	0.091	0.59	0.29
156	172	0.457	0.116	0.47	0.32
54	80	0.456	0.219	0.48	0.40
20	137	0.456	0.289	0.36	0.31
112	137	0.455	0.377	0.37	0.35
85	197	0.455	0.123	0.29	0.24
26	57	0.455	0.279	0.80	0.70
67	238	0.455	0.369	0.66	0.61
15	130	0.454	0.429	0.72	0.71
163	221	0.454	0.212	0.71	0.41
30	166	0.453	0.298	0.77	0.64
76	197	0.452	0.259	0.35	0.31
11	131	0.451	0.159	0.73	0.52
183	222	0.450	0.412	0.81	0.80
90	185	0.450	0.302	0.68	0.66
54	126	0.449	0.327	0.65	0.55
158	221	0.449	0.275	0.69	0.54
41	76	0.449	0.419	0.71	0.70
24	190	0.448	0.160	0.43	0.27
48	159	0.447	0.393	0.73	0.71
112	233	0.447	0.147	0.58	0.38
44	213	0.446	0.164	0.42	0.30
90	230	0.446	0.270	0.64	0.54
141	206	0.446	0.383	0.67	0.63
53	231	0.446	0.235	0.76	0.55
30	151	0.444	0.237	0.55	0.42
27	42	0.444	0.392	0.45	0.40
54	131	0.443	0.338	0.73	0.64
68	134	0.443	0.092	0.58	0.29
79	200	0.442	0.222	0.68	0.51
14	190	0.442	0.233	0.49	0.37
85	190	0.442	0.297	0.29	0.26
26	166	0.441	0.256	0.80	0.66
187	243	0.441	0.251	0.52	0.41
122	148	0.440	0.109	0.67	0.32
77	114	0.440	0.251	0.61	0.46
20	68	0.440	0.367	0.39	0.36
11	44	0.440	0.235	0.43	0.36
122	151	0.440	0.244	0.53	0.43
53	55	0.440	0.176	0.34	0.24
48	183	0.438	0.397	0.74	0.72
18	52	0.438	0.260	0.71	0.58
108	235	0.438	0.135	0.56	0.35
7	76	0.437	0.331	0.52	0.48
21	222	0.437	0.135	0.73	0.41
112	175	0.437	0.166	0.38	0.27
51	243	0.437	0.163	0.43	0.31
19	156	0.436	0.098	0.42	0.27
48	122	0.436	0.394	0.71	0.69
34	67	0.436	0.311	0.60	0.53
12	60	0.436	0.276	0.69	0.57
64	202	0.435	0.218	0.80	0.53
97	229	0.435	0.228	0.47	0.38
48	230	0.435	0.226	0.65	0.45
110	154	0.435	0.324	0.62	0.51
90	128	0.435	0.389	0.68	0.66
76	185	0.435	0.428	0.69	0.68
141	181	0.433	0.233	0.61	0.50
57	122	0.432	0.196	0.83	0.60
8	54	0.431	0.139	0.49	0.32
36	178	0.431	0.277	0.67	0.57
94	156	0.431	0.274	0.45	0.41
4	134	0.430	0.149	0.58	0.35
56	66	0.430	0.171	0.61	0.45
115	194	0.430	0.302	0.75	0.64
68	226	0.430	0.124	0.38	0.28
20	23	0.430	0.299	0.40	0.34
48	76	0.430	0.395	0.72	0.71
48	91	0.429	0.407	0.74	0.72
20	101	0.428	0.243	0.57	0.39
57	103	0.427	0.163	0.79	0.41
26	59	0.427	0.380	0.40	0.38
55	102	0.427	0.085	0.68	0.28
48	244	0.426	0.333	0.65	0.54
27	213	0.426	0.085	0.54	0.27
48	64	0.426	0.392	0.74	0.72
1	20	0.425	0.321	0.49	0.38
7	221	0.425	0.138	0.70	0.39
44	170	0.425	0.314	0.45	0.41
109	223	0.425	0.384	0.79	0.76
7	57	0.424	0.221	0.78	0.56
76	126	0.424	0.404	0.73	0.72
66	240	0.424	0.323	0.31	0.29
129	170	0.424	0.327	0.40	0.38
137	155	0.424	0.214	0.51	0.40
4	20	0.424	0.369	0.39	0.36
7	68	0.420	0.211	0.41	0.33
96	217	0.419	0.197	0.66	0.50
114	224	0.419	0.294	0.44	0.40
44	224	0.419	0.181	0.47	0.36
15	143	0.419	0.278	0.59	0.52
85	240	0.419	0.188	0.30	0.27
43	199	0.418	0.084	0.20	0.18
85	192	0.418	0.087	0.62	0.30
46	129	0.418	0.129	0.76	0.40
54	79	0.417	0.115	0.73	0.46
15	147	0.416	0.342	0.59	0.55
30	76	0.416	0.302	0.52	0.47
6	30	0.415	0.129	0.56	0.35
10	224	0.415	0.268	0.47	0.43
32	177	0.414	0.234	0.67	0.49
41	90	0.414	0.349	0.69	0.65
91	185	0.414	0.375	0.73	0.72
197	223	0.414	0.365	0.74	0.71
14	30	0.414	0.217	0.54	0.39
23	143	0.414	0.204	0.60	0.38
41	91	0.414	0.362	0.71	0.67
46	126	0.413	0.083	0.67	0.29
43	197	0.413	0.227	0.46	0.34
54	183	0.413	0.137	0.73	0.46
27	89	0.413	0.083	0.47	0.28
117	129	0.412	0.162	0.75	0.45
90	222	0.411	0.307	0.62	0.57
48	231	0.411	0.382	0.75	0.72
81	225	0.411	0.298	0.51	0.45
52	175	0.411	0.108	0.54	0.30
89	101	0.410	0.099	0.70	0.35
30	115	0.410	0.262	0.36	0.31
38	57	0.410	0.243	0.76	0.60
220	242	0.410	0.338	0.69	0.61
122	206	0.410	0.357	0.59	0.56
94	130	0.410	0.082	0.69	0.36
20	87	0.409	0.114	0.41	0.27
116	129	0.409	0.172	0.75	0.45
78	170	0.408	0.163	0.44	0.33
161	170	0.407	0.166	0.55	0.31
70	122	0.407	0.371	0.40	0.38
44	53	0.407	0.217	0.34	0.26
26	233	0.407	0.244	0.62	0.52
54	111	0.406	0.251	0.54	0.42
20	24	0.406	0.291	0.42	0.33
1	23	0.405	0.134	0.46	0.31
52	209	0.405	0.104	0.56	0.31
76	202	0.405	0.385	0.74	0.72
55	90	0.405	0.164	0.68	0.46
112	150	0.404	0.202	0.77	0.57
67	183	0.404	0.354	0.79	0.76
53	224	0.403	0.216	0.44	0.36
85	231	0.403	0.121	0.76	0.52
17	112	0.403	0.142	0.27	0.23
122	185	0.402	0.362	0.71	0.67
1	97	0.402	0.126	0.48	0.30
155	194	0.402	0.250	0.73	0.57
54	78	0.401	0.203	0.50	0.36
26	34	0.401	0.251	0.61	0.50
206	245	0.401	0.136	0.59	0.37
43	180	0.400	0.131	0.60	0.38
85	87	0.400	0.168	0.42	0.33
53	100	0.400	0.080	0.58	0.29
110	111	0.400	0.159	0.61	0.37
45	139	0.399	0.151	0.58	0.37
44	158	0.399	0.103	0.36	0.25
125	167	0.398	0.239	0.76	0.55
126	241	0.398	0.206	0.69	0.50
114	139	0.398	0.275	0.43	0.39
10	87	0.398	0.119	0.42	0.29
94	251	0.397	0.098	0.61	0.35
64	218	0.397	0.237	0.62	0.47
30	178	0.397	0.236	0.67	0.54
8	19	0.397	0.079	0.41	0.23
36	187	0.396	0.140	0.53	0.34
102	198	0.395	0.248	0.71	0.60
20	79	0.395	0.083	0.71	0.34
166	190	0.394	0.180	0.63	0.46
48	126	0.394	0.301	0.61	0.59
23	53	0.394	0.211	0.48	0.40
20	39	0.393	0.363	0.38	0.35
44	88	0.393	0.122	0.41	0.25
190	192	0.393	0.140	0.50	0.32
44	234	0.393	0.141	0.64	0.42
53	59	0.393	0.227	0.34	0.31
180	224	0.393	0.287	0.64	0.52
41	141	0.392	0.234	0.73	0.58
64	66	0.392	0.078	0.29	0.21
34	110	0.392	0.078	0.49	0.27
30	87	0.392	0.161	0.43	0.35
20	186	0.391	0.098	0.38	0.23
76	247	0.391	0.360	0.53	0.51
68	225	0.391	0.140	0.39	0.31
30	57	0.390	0.252	0.76	0.65
85	186	0.390	0.323	0.42	0.41
14	20	0.389	0.256	0.50	0.33
101	209	0.388	0.153	0.64	0.43
20	44	0.388	0.152	0.46	0.32
25	126	0.388	0.161	0.73	0.46
67	126	0.388	0.289	0.73	0.63
103	245	0.387	0.137	0.40	0.25
30	59	0.387	0.309	0.35	0.33
30	218	0.387	0.156	0.58	0.35
30	224	0.387	0.081	0.51	0.30
15	20	0.387	0.230	0.36	0.30
30	67	0.387	0.153	0.33	0.28
41	122	0.387	0.308	0.68	0.61
23	198	0.386	0.086	0.41	0.29
99	233	0.386	0.097	0.58	0.29
13	180	0.385	0.235	0.71	0.55
30	35	0.385	0.170	0.47	0.38
85	237	0.385	0.143	0.56	0.36
41	159	0.385	0.339	0.69	0.66
53	168	0.384	0.160	0.58	0.39
151	222	0.384	0.083	0.44	0.25
170	214	0.384	0.195	0.40	0.30
11	39	0.383	0.256	0.43	0.39
142	185	0.383	0.348	0.74	0.68
87	190	0.383	0.128	0.39	0.25
26	210	0.383	0.193	0.58	0.48
198	225	0.383	0.300	0.41	0.37
10	181	0.383	0.259	0.51	0.46
43	175	0.382	0.308	0.34	0.32
56	198	0.382	0.179	0.52	0.42
85	91	0.382	0.105	0.30	0.23
19	30	0.381	0.161	0.53	0.34
54	149	0.380	0.095	0.59	0.28
111	246	0.380	0.260	0.57	0.50
78	225	0.380	0.147	0.46	0.32
67	170	0.380	0.296	0.49	0.46
126	185	0.380	0.199	0.55	0.46
69	138	0.379	0.342	0.36	0.35
67	233	0.379	0.270	0.61	0.56
51	144	0.378	0.076	0.63	0.28
44	59	0.378	0.237	0.34	0.31
60	85	0.378	0.076	0.56	0.27
10	241	0.378	0.197	0.76	0.51
58	126	0.378	0.292	0.73	0.62
3	41	0.378	0.315	0.72	0.67
1	137	0.377	0.318	0.49	0.48
15	74	0.377	0.107	0.40	0.28
41	64	0.377	0.314	0.69	0.63
222	237	0.377	0.108	0.50	0.27
6	247	0.376	0.229	0.58	0.52
177	217	0.376	0.109	0.68	0.37
76	88	0.376	0.143	0.44	0.27
54	137	0.375	0.172	0.49	0.40
165	206	0.375	0.297	0.66	0.60
3	48	0.375	0.345	0.74	0.71
15	213	0.375	0.224	0.47	0.39
115	165	0.374	0.145	0.40	0.32
114	181	0.374	0.335	0.52	0.48
55	181	0.374	0.314	0.52	0.50
123	189	0.374	0.176	0.43	0.27
113	224	0.373	0.204	0.61	0.43
17	60	0.373	0.146	0.63	0.45
159	244	0.373	0.229	0.61	0.47
107	143	0.373	0.089	0.77	0.40
75	240	0.373	0.341	0.53	0.48
44	70	0.372	0.323	0.39	0.37
37	244	0.372	0.206	0.55	0.40
137	221	0.372	0.098	0.65	0.40
114	127	0.372	0.276	0.48	0.42
35	114	0.372	0.226	0.44	0.39
144	225	0.372	0.304	0.76	0.69
138	205	0.371	0.167	0.75	0.57
115	129	0.371	0.230	0.60	0.47
142	217	0.371	0.074	0.66	0.32
114	166	0.371	0.349	0.75	0.71
166	198	0.371	0.237	0.69	0.60
0	54	0.370	0.096	0.51	0.33
11	137	0.370	0.282	0.48	0.43
76	159	0.370	0.316	0.52	0.50
130	220	0.369	0.282	0.56	0.48
26	183	0.369	0.284	0.79	0.72
213	224	0.369	0.267	0.43	0.40
13	78	0.369	0.077	0.64	0.35
24	30	0.368	0.093	0.45	0.29
22	126	0.368	0.257	0.69	0.65
4	29	0.368	0.084	0.44	0.28
55	59	0.368	0.281	0.33	0.31
166	213	0.367	0.214	0.68	0.58
64	185	0.367	0.306	0.67	0.62
218	233	0.367	0.103	0.50	0.27
222	238	0.367	0.080	0.51	0.29
35	180	0.367	0.276	0.59	0.53
15	149	0.366	0.261	0.58	0.53
89	221	0.366	0.074	0.69	0.29
23	172	0.365	0.221	0.40	0.34
171	236	0.365	0.073	0.69	0.31
117	231	0.365	0.105	0.68	0.39
96	114	0.365	0.319	0.49	0.39
11	68	0.365	0.236	0.41	0.36
14	228	0.364	0.100	0.46	0.29
30	206	0.364	0.256	0.58	0.50
66	159	0.364	0.073	0.34	0.24
63	240	0.364	0.086	0.47	0.31
55	70	0.364	0.251	0.41	0.35
76	155	0.364	0.087	0.47	0.28
44	181	0.363	0.332	0.57	0.51
44	84	0.363	0.141	0.45	0.29
91	121	0.362	0.239	0.64	0.55
37	141	0.362	0.185	0.44	0.38
50	244	0.362	0.083	0.59	0.38
80	213	0.361	0.173	0.52	0.44
37	41	0.361	0.246	0.65	0.54
3	202	0.361	0.326	0.78	0.75
110	171	0.361	0.124	0.55	0.33
115	130	0.361	0.095	0.60	0.31
143	216	0.360	0.237	0.45	0.37
43	149	0.360	0.127	0.60	0.40
14	78	0.360	0.205	0.48	0.38
53	80	0.359	0.133	0.51	0.32
62	161	0.359	0.219	0.43	0.35
43	240	0.358	0.102	0.34	0.26
151	206	0.358	0.279	0.60	0.56
43	158	0.358	0.254	0.34	0.31
24	137	0.357	0.308	0.47	0.46
141	215	0.357	0.312	0.49	0.47
3	185	0.357	0.336	0.73	0.70
31	196	0.357	0.341	0.40	0.38
20	96	0.357	0.113	0.39	0.25
190	240	0.356	0.215	0.29	0.25
11	186	0.356	0.195	0.40	0.34
127	180	0.356	0.262	0.59	0.50
63	76	0.356	0.196	0.41	0.31
68	214	0.356	0.296	0.52	0.46
30	44	0.355	0.071	0.42	0.26
40	216	0.354	0.084	0.43	0.31
68	126	0.354	0.121	0.64	0.48
108	142	0.354	0.158	0.59	0.46
2	44	0.354	0.086	0.57	0.32
185	231	0.353	0.295	0.56	0.54
37	48	0.353	0.313	0.66	0.64
126	181	0.353	0.243	0.65	0.58
192	217	0.352	0.249	0.50	0.42
4	11	0.352	0.259	0.42	0.39
151	165	0.352	0.150	0.50	0.33
122	186	0.352	0.168	0.45	0.34
139	230	0.351	0.159	0.55	0.43
39	214	0.351	0.278	0.51	0.45
52	213	0.351	0.144	0.41	0.34
93	237	0.351	0.244	0.63	0.57
43	219	0.351	0.141	0.21	0.20
2	131	0.351	0.170	0.67	0.54
115	180	0.351	0.184	0.59	0.44
6	209	0.351	0.220	0.44	0.37
30	181	0.350	0.235	0.53	0.46
37	39	0.350	0.086	0.51	0.33
76	91	0.350	0.285	0.47	0.45
121	241	0.350	0.092	0.60	0.33
30	186	0.350	0.200	0.44	0.37
66	91	0.349	0.127	0.28	0.23
142	143	0.349	0.088	0.56	0.33
186	204	0.348	0.169	0.32	0.27
76	244	0.348	0.313	0.52	0.49
57	199	0.348	0.250	0.72	0.58
185	244	0.348	0.163	0.60	0.40
66	126	0.348	0.172	0.66	0.57
59	213	0.348	0.268	0.34	0.31
55	127	0.347	0.133	0.44	0.36
65	107	0.347	0.069	0.74	0.28
14	158	0.346	0.069	0.53	0.27
159	185	0.346	0.306	0.67	0.64
30	96	0.346	0.151	0.43	0.34
77	174	0.346	0.069	0.63	0.33
51	88	0.346	0.131	0.41	0.28
55	235	0.346	0.194	0.55	0.45
127	224	0.346	0.133	0.46	0.28
126	230	0.346	0.116	0.67	0.41
15	97	0.345	0.176	0.46	0.38
115	181	0.345	0.073	0.48	0.29
181	213	0.345	0.301	0.53	0.49
14	115	0.345	0.153	0.44	0.32
57	198	0.345	0.230	0.74	0.59
21	30	0.344	0.254	0.63	0.56
138	196	0.344	0.332	0.35	0.34
3	244	0.344	0.138	0.57	0.47
80	216	0.343	0.087	0.47	0.26
39	137	0.343	0.221	0.39	0.35
114	153	0.343	0.236	0.38	0.35
4	207	0.343	0.070	0.41	0.27
75	214	0.342	0.161	0.36	0.30
10	238	0.342	0.176	0.54	0.44
20	147	0.342	0.266	0.52	0.38
36	126	0.342	0.068	0.69	0.31
116	231	0.342	0.118	0.64	0.38
39	226	0.341	0.092	0.37	0.29
90	139	0.341	0.325	0.63	0.60
12	161	0.341	0.296	0.69	0.68
43	137	0.341	0.272	0.35	0.32
107	112	0.340	0.199	0.60	0.56
87	90	0.340	0.145	0.67	0.50
31	69	0.340	0.325	0.38	0.37
230	237	0.340	0.175	0.48	0.37
196	225	0.340	0.231	0.44	0.38
30	170	0.340	0.226	0.41	0.37
10	153	0.339	0.262	0.45	0.41
41	183	0.339	0.209	0.70	0.55
78	211	0.339	0.134	0.42	0.31
6	165	0.339	0.121	0.57	0.40
54	68	0.338	0.164	0.35	0.28
64	76	0.338	0.305	0.48	0.47
20	214	0.338	0.148	0.25	0.20
38	114	0.338	0.302	0.58	0.57
59	115	0.338	0.209	0.31	0.27
126	222	0.338	0.292	0.64	0.60
80	91	0.338	0.118	0.64	0.43
112	222	0.338	0.068	0.48	0.26
185	222	0.337	0.172	0.61	0.48
207	245	0.337	0.067	0.50	0.25
139	235	0.337	0.159	0.55	0.42
31	138	0.337	0.309	0.39	0.37
20	213	0.336	0.084	0.24	0.20
44	153	0.336	0.169	0.41	0.34
124	192	0.336	0.180	0.48	0.37
7	55	0.336	0.235	0.39	0.36
20	149	0.336	0.212	0.42	0.32
137	220	0.335	0.188	0.63	0.51
65	166	0.335	0.218	0.66	0.61
2	230	0.335	0.118	0.57	0.40
30	97	0.335	0.067	0.50	0.25
9	102	0.335	0.198	0.57	0.47
76	225	0.335	0.166	0.36	0.30
180	181	0.335	0.148	0.53	0.38
4	199	0.334	0.076	0.33	0.23
145	199	0.334	0.268	0.66	0.58
112	219	0.334	0.270	0.53	0.50
10	20	0.334	0.144	0.36	0.28
188	194	0.333	0.126	0.83	0.44
57	115	0.333	0.168	0.67	0.49
52	158	0.333	0.089	0.50	0.32
76	151	0.333	0.105	0.51	0.34
89	192	0.333	0.083	0.60	0.37
20	225	0.333	0.157	0.32	0.26
68	122	0.333	0.209	0.42	0.32
63	226	0.333	0.177	0.40	0.32
15	126	0.333	0.067	0.65	0.33
39	199	0.332	0.225	0.47	0.32
6	78	0.332	0.198	0.51	0.40
159	218	0.332	0.076	0.51	0.31
39	216	0.332	0.208	0.48	0.43
15	53	0.332	0.255	0.49	0.42
30	238	0.332	0.234	0.59	0.52
11	180	0.332	0.252	0.62	0.55
110	165	0.332	0.085	0.41	0.26
81	169	0.332	0.128	0.52	0.38
180	198	0.331	0.259	0.64	0.57
141	165	0.331	0.086	0.46	0.33
21	76	0.331	0.256	0.63	0.56
6	64	0.331	0.066	0.26	0.23
191	200	0.331	0.121	0.77	0.50
48	90	0.330	0.315	0.65	0.62
57	161	0.329	0.168	0.58	0.36
32	61	0.329	0.256	0.47	0.44
20	126	0.328	0.196	0.52	0.46
48	222	0.328	0.198	0.58	0.47
96	180	0.328	0.176	0.57	0.39
48	142	0.327	0.206	0.68	0.53
47	115	0.327	0.171	0.55	0.39
96	115	0.327	0.165	0.41	0.32
78	222	0.327	0.286	0.45	0.43
87	206	0.327	0.146	0.59	0.46
35	224	0.327	0.130	0.45	0.28
215	224	0.326	0.094	0.50	0.29
109	189	0.325	0.116	0.50	0.31
55	170	0.325	0.278	0.42	0.41
166	222	0.325	0.156	0.73	0.49
2	48	0.325	0.274	0.63	0.58
142	202	0.324	0.211	0.74	0.59
57	141	0.324	0.246	0.74	0.70
147	154	0.324	0.146	0.54	0.36
14	227	0.324	0.249	0.65	0.59
67	210	0.323	0.172	0.55	0.47
39	122	0.323	0.194	0.44	0.32
117	225	0.323	0.065	0.52	0.30
44	127	0.323	0.108	0.40	0.31
122	153	0.323	0.170	0.41	0.35
56	93	0.323	0.137	0.61	0.44
91	225	0.323	0.187	0.37	0.31
11	55	0.322	0.136	0.41	0.32
68	106	0.322	0.228	0.35	0.32
183	202	0.322	0.263	0.63	0.60
11	91	0.321	0.121	0.40	0.26
54	76	0.321	0.171	0.47	0.36
11	54	0.321	0.105	0.38	0.26
26	30	0.320	0.084	0.33	0.27
66	75	0.320	0.212	0.26	0.25
9	10	0.320	0.284	0.45	0.42
88	187	0.320	0.082	0.46	0.29
26	153	0.320	0.159	0.46	0.40
103	114	0.320	0.289	0.58	0.55
112	158	0.320	0.118	0.34	0.25
4	225	0.319	0.117	0.37	0.32
7	115	0.319	0.167	0.30	0.25
94	176	0.319	0.202	0.53	0.44
15	108	0.319	0.064	0.55	0.30
112	240	0.319	0.155	0.34	0.30
198	237	0.318	0.223	0.47	0.44
59	67	0.318	0.165	0.37	0.33
78	190	0.318	0.177	0.38	0.31
4	106	0.318	0.280	0.35	0.34
43	163	0.318	0.172	0.33	0.28
114	180	0.317	0.181	0.52	0.45
24	114	0.317	0.211	0.41	0.33
30	180	0.317	0.182	0.65	0.50
53	180	0.317	0.189	0.57	0.46
181	224	0.316	0.175	0.48	0.36
107	115	0.316	0.117	0.64	0.38
53	166	0.316	0.118	0.68	0.47
70	140	0.316	0.155	0.66	0.57
101	158	0.316	0.072	0.61	0.35
47	136	0.316	0.208	0.41	0.33
36	97	0.315	0.067	0.53	0.29
154	237	0.315	0.256	0.55	0.52
202	218	0.315	0.280	0.69	0.63
30	55	0.315	0.105	0.40	0.28
42	226	0.315	0.197	0.52	0.43
17	165	0.314	0.075	0.42	0.27
