i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
20	143	0.460	0.368	0.71	0.64
115	225	0.459	0.109	0.61	0.32
29	40	0.459	0.340	0.71	0.63
29	225	0.459	0.192	0.56	0.38
131	194	0.458	0.265	0.60	0.48
31	36	0.458	0.393	0.68	0.65
3	153	0.457	0.281	0.62	0.54
125	141	0.457	0.449	0.71	0.71
37	40	0.457	0.154	0.74	0.38
24	134	0.457	0.283	0.69	0.55
40	42	0.457	0.297	0.73	0.57
126	141	0.455	0.394	0.74	0.71
23	134	0.454	0.248	0.69	0.53
106	238	0.454	0.329	0.71	0.65
29	36	0.454	0.409	0.72	0.69
26	214	0.453	0.109	0.57	0.31
3	56	0.453	0.329	0.40	0.38
129	205	0.453	0.173	0.57	0.35
29	114	0.452	0.267	0.52	0.40
135	141	0.452	0.420	0.76	0.74
175	190	0.451	0.306	0.48	0.42
134	143	0.451	0.367	0.72	0.64
110	118	0.450	0.406	0.56	0.54
30	106	0.450	0.288	0.66	0.52
29	39	0.450	0.139	0.73	0.40
23	200	0.448	0.281	0.62	0.55
130	133	0.447	0.089	0.66	0.28
159	198	0.447	0.089	0.49	0.27
52	167	0.446	0.212	0.49	0.37
135	143	0.446	0.361	0.75	0.70
35	198	0.446	0.223	0.71	0.46
133	142	0.445	0.321	0.63	0.60
29	60	0.445	0.089	0.56	0.28
26	29	0.445	0.330	0.48	0.45
139	153	0.444	0.136	0.73	0.43
78	216	0.443	0.224	0.36	0.33
22	134	0.443	0.361	0.69	0.63
108	117	0.442	0.352	0.46	0.44
20	56	0.442	0.372	0.41	0.39
0	125	0.441	0.293	0.47	0.38
97	126	0.441	0.179	0.83	0.49
122	141	0.440	0.415	0.73	0.71
198	223	0.440	0.122	0.58	0.34
193	238	0.440	0.168	0.52	0.40
121	141	0.440	0.390	0.71	0.68
176	222	0.439	0.317	0.80	0.69
122	185	0.439	0.114	0.40	0.24
61	134	0.438	0.341	0.65	0.61
170	191	0.437	0.281	0.45	0.40
49	155	0.436	0.164	0.54	0.39
44	225	0.436	0.154	0.59	0.33
7	131	0.436	0.311	0.64	0.59
167	231	0.435	0.383	0.40	0.39
36	47	0.435	0.353	0.71	0.65
52	153	0.434	0.171	0.63	0.36
125	153	0.434	0.412	0.65	0.63
61	133	0.433	0.378	0.68	0.64
96	115	0.433	0.179	0.75	0.50
18	43	0.431	0.268	0.67	0.58
129	135	0.431	0.388	0.82	0.81
0	153	0.431	0.227	0.64	0.52
44	238	0.430	0.133	0.33	0.30
118	147	0.429	0.171	0.37	0.28
111	137	0.429	0.174	0.60	0.47
137	141	0.429	0.143	0.63	0.36
104	184	0.429	0.262	0.31	0.27
136	225	0.429	0.130	0.66	0.33
86	237	0.428	0.111	0.71	0.33
75	131	0.428	0.282	0.67	0.60
26	188	0.428	0.325	0.57	0.54
134	137	0.428	0.330	0.60	0.54
24	71	0.427	0.125	0.63	0.34
70	173	0.427	0.235	0.66	0.44
24	133	0.425	0.255	0.73	0.57
22	113	0.425	0.184	0.60	0.42
224	225	0.424	0.108	0.63	0.37
23	133	0.424	0.194	0.74	0.54
98	106	0.424	0.164	0.76	0.41
18	25	0.424	0.152	0.43	0.31
97	104	0.423	0.401	0.80	0.79
96	103	0.423	0.257	0.77	0.70
17	220	0.422	0.139	0.60	0.38
118	155	0.422	0.188	0.28	0.23
58	204	0.421	0.173	0.45	0.34
122	143	0.421	0.377	0.72	0.68
118	191	0.421	0.302	0.42	0.38
20	141	0.421	0.317	0.70	0.60
61	191	0.419	0.084	0.44	0.26
133	143	0.419	0.286	0.70	0.57
29	188	0.419	0.159	0.58	0.34
131	154	0.419	0.330	0.32	0.31
193	239	0.419	0.181	0.51	0.41
120	207	0.419	0.174	0.57	0.40
226	228	0.419	0.255	0.80	0.62
61	62	0.418	0.392	0.40	0.39
20	91	0.418	0.285	0.47	0.41
200	239	0.418	0.329	0.67	0.64
174	192	0.417	0.330	0.73	0.69
104	174	0.417	0.232	0.75	0.50
125	239	0.417	0.224	0.48	0.40
126	143	0.417	0.336	0.71	0.66
96	104	0.417	0.317	0.79	0.66
96	239	0.417	0.287	0.85	0.72
55	130	0.417	0.331	0.42	0.38
20	24	0.417	0.225	0.46	0.39
120	125	0.416	0.319	0.50	0.46
200	238	0.416	0.347	0.69	0.65
70	228	0.416	0.141	0.65	0.36
163	176	0.416	0.083	0.77	0.27
0	68	0.415	0.253	0.41	0.31
133	137	0.415	0.322	0.63	0.58
106	117	0.415	0.274	0.56	0.50
97	103	0.415	0.247	0.77	0.61
22	174	0.415	0.328	0.74	0.70
9	82	0.415	0.366	0.40	0.37
10	82	0.414	0.362	0.39	0.36
7	115	0.414	0.256	0.59	0.47
44	45	0.414	0.083	0.56	0.27
122	147	0.414	0.139	0.27	0.23
97	239	0.413	0.190	0.85	0.66
115	192	0.413	0.225	0.35	0.31
22	32	0.413	0.221	0.37	0.33
95	104	0.412	0.326	0.64	0.58
144	184	0.411	0.388	0.53	0.47
80	215	0.411	0.178	0.66	0.41
44	240	0.411	0.123	0.35	0.28
28	238	0.410	0.273	0.44	0.34
121	143	0.409	0.343	0.70	0.64
110	238	0.409	0.243	0.60	0.53
125	228	0.409	0.353	0.51	0.49
1	189	0.409	0.286	0.49	0.41
22	96	0.408	0.228	0.78	0.56
115	117	0.407	0.217	0.54	0.41
120	141	0.407	0.383	0.70	0.68
77	153	0.407	0.155	0.51	0.32
22	97	0.406	0.238	0.78	0.60
27	60	0.406	0.101	0.56	0.31
81	215	0.406	0.230	0.75	0.51
108	170	0.406	0.324	0.49	0.48
29	125	0.406	0.199	0.50	0.36
197	227	0.406	0.258	0.69	0.61
141	207	0.405	0.263	0.62	0.49
126	207	0.405	0.171	0.61	0.36
21	184	0.405	0.299	0.36	0.33
20	96	0.405	0.214	0.82	0.62
130	226	0.404	0.270	0.68	0.63
123	189	0.404	0.114	0.61	0.34
132	141	0.404	0.385	0.75	0.73
24	155	0.403	0.081	0.42	0.23
193	240	0.403	0.086	0.49	0.32
97	115	0.402	0.228	0.74	0.55
28	59	0.402	0.088	0.58	0.32
122	142	0.402	0.382	0.78	0.76
96	126	0.402	0.182	0.80	0.54
36	40	0.402	0.230	0.68	0.59
96	192	0.401	0.314	0.79	0.73
75	198	0.401	0.176	0.53	0.41
108	169	0.401	0.125	0.49	0.30
97	192	0.401	0.334	0.80	0.73
113	131	0.401	0.263	0.62	0.56
89	147	0.401	0.188	0.68	0.38
115	143	0.400	0.080	0.67	0.30
131	174	0.400	0.253	0.76	0.64
132	142	0.400	0.362	0.63	0.61
30	222	0.399	0.223	0.59	0.47
20	200	0.398	0.315	0.56	0.53
20	97	0.398	0.172	0.84	0.58
3	139	0.397	0.364	0.75	0.74
169	191	0.397	0.201	0.47	0.35
21	195	0.397	0.274	0.61	0.53
1	85	0.397	0.286	0.49	0.47
132	237	0.397	0.197	0.72	0.47
55	195	0.396	0.097	0.40	0.26
5	122	0.396	0.131	0.34	0.30
30	218	0.396	0.176	0.59	0.41
180	235	0.395	0.279	0.36	0.32
56	157	0.395	0.142	0.55	0.38
131	206	0.395	0.154	0.30	0.27
118	225	0.395	0.151	0.60	0.39
118	125	0.394	0.145	0.37	0.31
0	189	0.394	0.170	0.48	0.34
56	130	0.394	0.302	0.43	0.38
38	239	0.393	0.196	0.83	0.65
73	153	0.393	0.194	0.62	0.48
27	153	0.393	0.118	0.60	0.40
96	121	0.391	0.109	0.78	0.41
120	143	0.391	0.344	0.68	0.65
123	140	0.391	0.241	0.77	0.63
56	194	0.391	0.193	0.47	0.36
129	142	0.391	0.191	0.67	0.54
60	198	0.391	0.155	0.52	0.36
18	195	0.390	0.078	0.62	0.35
54	144	0.390	0.347	0.45	0.42
21	188	0.390	0.157	0.57	0.41
7	192	0.389	0.217	0.59	0.53
136	231	0.389	0.179	0.56	0.43
21	32	0.388	0.225	0.35	0.31
143	239	0.387	0.171	0.76	0.56
70	175	0.387	0.227	0.71	0.57
38	153	0.387	0.216	0.73	0.44
37	149	0.387	0.189	0.71	0.54
20	142	0.387	0.276	0.75	0.60
202	207	0.385	0.077	0.53	0.29
15	153	0.385	0.152	0.56	0.35
55	211	0.385	0.254	0.69	0.63
128	207	0.385	0.304	0.55	0.50
4	59	0.385	0.354	0.57	0.56
1	159	0.385	0.210	0.44	0.34
34	205	0.385	0.077	0.60	0.29
95	112	0.385	0.287	0.39	0.38
115	174	0.384	0.234	0.72	0.56
53	130	0.384	0.097	0.67	0.34
130	159	0.384	0.314	0.47	0.44
126	142	0.384	0.308	0.73	0.69
25	189	0.383	0.160	0.62	0.39
26	121	0.383	0.154	0.33	0.28
95	103	0.383	0.321	0.61	0.57
96	131	0.383	0.261	0.79	0.69
106	108	0.383	0.305	0.64	0.52
154	204	0.382	0.331	0.43	0.42
125	207	0.382	0.333	0.54	0.52
80	159	0.382	0.328	0.42	0.40
26	189	0.381	0.224	0.61	0.43
176	218	0.381	0.339	0.75	0.71
223	240	0.380	0.080	0.73	0.43
115	149	0.380	0.180	0.48	0.38
120	150	0.380	0.236	0.28	0.25
110	192	0.380	0.207	0.54	0.46
4	35	0.380	0.331	0.76	0.73
127	239	0.380	0.194	0.47	0.40
71	136	0.380	0.277	0.59	0.51
113	192	0.379	0.187	0.59	0.47
61	159	0.379	0.154	0.53	0.37
60	115	0.378	0.185	0.56	0.44
131	135	0.378	0.212	0.78	0.59
116	130	0.378	0.219	0.46	0.35
124	140	0.378	0.334	0.80	0.76
27	238	0.378	0.189	0.43	0.35
4	235	0.378	0.076	0.37	0.24
95	110	0.377	0.335	0.51	0.48
35	236	0.377	0.328	0.72	0.68
159	219	0.377	0.204	0.50	0.38
88	115	0.376	0.135	0.54	0.34
4	94	0.376	0.205	0.75	0.51
7	22	0.376	0.231	0.59	0.49
126	164	0.376	0.180	0.58	0.40
118	226	0.375	0.215	0.71	0.58
69	118	0.375	0.157	0.70	0.45
25	195	0.374	0.113	0.62	0.42
18	53	0.374	0.185	0.71	0.52
47	85	0.374	0.238	0.44	0.38
20	125	0.374	0.307	0.48	0.43
92	184	0.373	0.208	0.61	0.50
59	193	0.373	0.164	0.57	0.43
54	184	0.373	0.338	0.44	0.42
123	143	0.372	0.074	0.68	0.32
95	109	0.372	0.182	0.45	0.36
147	158	0.372	0.080	0.39	0.25
4	114	0.372	0.288	0.35	0.33
127	217	0.372	0.082	0.48	0.31
23	118	0.372	0.164	0.44	0.35
40	139	0.372	0.088	0.69	0.32
3	110	0.371	0.161	0.49	0.39
125	224	0.371	0.273	0.39	0.32
117	225	0.371	0.277	0.56	0.52
122	125	0.371	0.339	0.48	0.45
121	125	0.371	0.344	0.47	0.47
23	155	0.371	0.125	0.41	0.26
57	217	0.370	0.138	0.46	0.32
124	141	0.370	0.342	0.72	0.69
131	161	0.370	0.329	0.37	0.36
158	192	0.370	0.192	0.55	0.46
90	155	0.370	0.180	0.52	0.40
159	192	0.370	0.258	0.49	0.46
107	204	0.370	0.191	0.45	0.37
110	117	0.370	0.271	0.48	0.45
35	173	0.370	0.336	0.75	0.71
125	126	0.370	0.313	0.49	0.48
4	210	0.369	0.142	0.35	0.30
126	204	0.368	0.234	0.48	0.41
127	207	0.368	0.148	0.55	0.36
115	166	0.368	0.074	0.58	0.31
182	221	0.368	0.256	0.60	0.52
3	108	0.368	0.161	0.48	0.36
0	96	0.368	0.119	0.75	0.44
200	240	0.368	0.345	0.66	0.64
123	126	0.368	0.232	0.48	0.40
115	130	0.367	0.107	0.41	0.30
20	147	0.367	0.131	0.42	0.28
206	239	0.367	0.323	0.60	0.56
130	194	0.367	0.111	0.51	0.33
125	220	0.366	0.189	0.49	0.40
184	224	0.366	0.147	0.49	0.34
140	164	0.366	0.307	0.72	0.67
60	147	0.365	0.087	0.59	0.31
21	174	0.365	0.156	0.66	0.43
143	240	0.364	0.102	0.71	0.45
81	239	0.364	0.082	0.68	0.45
153	188	0.364	0.338	0.52	0.50
111	133	0.364	0.298	0.62	0.58
59	115	0.363	0.176	0.51	0.36
22	59	0.363	0.132	0.50	0.41
72	189	0.363	0.090	0.57	0.36
0	97	0.362	0.178	0.75	0.50
125	236	0.362	0.194	0.38	0.31
97	125	0.361	0.295	0.74	0.69
112	158	0.361	0.271	0.42	0.39
153	217	0.361	0.156	0.60	0.43
64	178	0.361	0.147	0.39	0.30
169	192	0.360	0.248	0.43	0.38
31	40	0.359	0.168	0.64	0.54
46	131	0.359	0.137	0.62	0.43
115	155	0.359	0.261	0.32	0.29
124	142	0.359	0.335	0.80	0.74
105	176	0.359	0.173	0.42	0.31
114	149	0.359	0.072	0.26	0.22
132	143	0.359	0.257	0.73	0.60
16	22	0.359	0.165	0.63	0.46
71	227	0.359	0.243	0.55	0.47
115	131	0.358	0.286	0.41	0.35
2	20	0.357	0.264	0.49	0.45
18	26	0.357	0.181	0.38	0.30
27	29	0.356	0.170	0.48	0.36
120	224	0.356	0.071	0.46	0.28
193	222	0.356	0.071	0.42	0.25
83	130	0.356	0.185	0.39	0.29
80	97	0.355	0.286	0.71	0.65
128	143	0.355	0.256	0.64	0.53
229	240	0.355	0.282	0.50	0.48
131	153	0.355	0.260	0.57	0.53
128	239	0.354	0.129	0.47	0.38
0	195	0.354	0.071	0.64	0.30
47	204	0.354	0.133	0.51	0.33
136	147	0.354	0.123	0.54	0.37
60	240	0.354	0.099	0.64	0.40
123	141	0.354	0.194	0.68	0.51
26	153	0.353	0.236	0.59	0.47
150	224	0.353	0.243	0.43	0.35
117	153	0.353	0.071	0.56	0.24
118	132	0.353	0.071	0.77	0.38
69	242	0.353	0.129	0.69	0.41
118	223	0.352	0.074	0.56	0.32
143	238	0.352	0.123	0.72	0.49
128	238	0.352	0.191	0.48	0.40
137	143	0.352	0.111	0.61	0.33
92	117	0.352	0.174	0.68	0.46
0	130	0.351	0.231	0.37	0.34
66	241	0.350	0.129	0.50	0.32
81	159	0.350	0.267	0.41	0.38
141	153	0.350	0.283	0.58	0.53
99	188	0.350	0.075	0.54	0.28
133	215	0.349	0.150	0.62	0.39
89	217	0.349	0.135	0.65	0.37
47	143	0.349	0.070	0.62	0.28
89	125	0.348	0.265	0.66	0.58
38	90	0.348	0.263	0.62	0.54
123	207	0.348	0.070	0.59	0.28
7	129	0.348	0.070	0.52	0.26
71	179	0.347	0.139	0.64	0.34
117	226	0.346	0.249	0.64	0.60
26	126	0.346	0.139	0.37	0.29
110	115	0.346	0.259	0.52	0.45
57	62	0.346	0.187	0.49	0.41
38	240	0.346	0.143	0.78	0.57
40	145	0.346	0.069	0.78	0.43
83	158	0.345	0.250	0.49	0.44
22	175	0.345	0.189	0.41	0.36
93	132	0.345	0.176	0.70	0.51
130	161	0.345	0.144	0.32	0.27
23	214	0.345	0.168	0.42	0.32
161	238	0.344	0.313	0.39	0.38
28	29	0.344	0.159	0.47	0.35
95	169	0.344	0.268	0.46	0.37
111	134	0.344	0.318	0.57	0.55
96	125	0.344	0.289	0.76	0.71
25	92	0.344	0.089	0.41	0.32
22	182	0.344	0.248	0.51	0.42
3	68	0.344	0.095	0.37	0.28
219	220	0.343	0.112	0.53	0.30
27	183	0.343	0.126	0.40	0.28
116	191	0.343	0.144	0.41	0.30
95	116	0.343	0.152	0.36	0.27
7	191	0.343	0.194	0.55	0.45
97	131	0.343	0.233	0.77	0.67
27	116	0.342	0.262	0.45	0.42
97	137	0.342	0.151	0.76	0.51
53	78	0.342	0.214	0.56	0.45
96	238	0.342	0.250	0.79	0.72
127	141	0.342	0.277	0.65	0.61
51	225	0.342	0.068	0.68	0.26
33	191	0.342	0.183	0.63	0.38
123	142	0.341	0.253	0.77	0.60
29	135	0.341	0.097	0.65	0.36
16	192	0.341	0.241	0.64	0.59
90	222	0.341	0.112	0.46	0.33
2	217	0.340	0.068	0.52	0.29
29	192	0.340	0.077	0.35	0.27
63	129	0.340	0.262	0.57	0.51
139	207	0.340	0.070	0.61	0.35
200	219	0.339	0.133	0.57	0.39
207	239	0.339	0.196	0.59	0.50
132	140	0.339	0.277	0.68	0.64
12	59	0.339	0.134	0.64	0.37
37	106	0.339	0.159	0.76	0.54
33	161	0.338	0.231	0.32	0.28
7	20	0.338	0.126	0.55	0.39
21	236	0.338	0.135	0.37	0.23
124	143	0.338	0.306	0.70	0.66
24	210	0.338	0.068	0.31	0.21
106	109	0.337	0.285	0.59	0.54
130	134	0.336	0.067	0.61	0.30
170	192	0.336	0.253	0.42	0.37
159	176	0.336	0.218	0.53	0.41
43	196	0.336	0.121	0.59	0.33
25	45	0.335	0.086	0.55	0.31
56	115	0.335	0.161	0.36	0.33
4	73	0.335	0.174	0.41	0.34
40	115	0.335	0.072	0.64	0.33
134	141	0.335	0.311	0.61	0.60
1	144	0.335	0.180	0.35	0.31
135	140	0.334	0.270	0.70	0.63
36	136	0.334	0.097	0.65	0.37
60	209	0.334	0.108	0.62	0.41
110	199	0.333	0.067	0.42	0.24
85	191	0.333	0.209	0.42	0.33
31	130	0.333	0.173	0.72	0.48
4	55	0.333	0.067	0.39	0.26
127	240	0.333	0.194	0.46	0.38
15	22	0.332	0.175	0.57	0.45
26	117	0.332	0.198	0.43	0.36
121	207	0.332	0.066	0.54	0.28
57	63	0.331	0.108	0.44	0.35
30	170	0.331	0.223	0.55	0.46
79	165	0.331	0.206	0.64	0.50
127	189	0.331	0.092	0.54	0.31
118	184	0.331	0.233	0.35	0.30
120	164	0.331	0.074	0.49	0.28
32	147	0.331	0.157	0.40	0.34
193	200	0.331	0.280	0.61	0.57
60	68	0.331	0.067	0.31	0.26
95	111	0.331	0.152	0.41	0.32
115	161	0.330	0.235	0.34	0.30
25	214	0.330	0.066	0.49	0.27
120	142	0.330	0.247	0.71	0.63
32	58	0.330	0.293	0.48	0.47
30	172	0.330	0.163	0.31	0.27
120	140	0.330	0.219	0.72	0.55
80	96	0.330	0.268	0.71	0.67
62	236	0.330	0.222	0.47	0.41
26	176	0.330	0.078	0.27	0.20
115	159	0.329	0.214	0.44	0.37
143	202	0.329	0.307	0.47	0.45
106	169	0.329	0.202	0.58	0.47
125	191	0.329	0.287	0.40	0.37
26	182	0.329	0.115	0.52	0.34
47	158	0.329	0.127	0.52	0.37
44	132	0.329	0.068	0.65	0.30
55	115	0.329	0.153	0.35	0.32
122	202	0.328	0.066	0.56	0.33
55	60	0.328	0.066	0.45	0.24
116	232	0.328	0.166	0.55	0.46
155	184	0.328	0.255	0.30	0.28
52	217	0.327	0.108	0.44	0.33
84	85	0.327	0.065	0.32	0.24
123	154	0.327	0.214	0.54	0.49
108	109	0.327	0.194	0.47	0.35
2	125	0.327	0.131	0.51	0.36
54	170	0.326	0.065	0.48	0.30
0	175	0.326	0.169	0.37	0.31
28	116	0.326	0.278	0.48	0.43
95	106	0.326	0.216	0.52	0.47
44	239	0.326	0.122	0.42	0.35
32	90	0.325	0.132	0.60	0.44
112	192	0.325	0.149	0.46	0.38
206	238	0.325	0.298	0.59	0.57
184	191	0.325	0.247	0.35	0.35
22	60	0.325	0.221	0.63	0.52
108	110	0.325	0.187	0.50	0.40
3	117	0.325	0.171	0.48	0.40
4	93	0.325	0.154	0.52	0.39
106	110	0.324	0.127	0.46	0.36
22	112	0.324	0.216	0.45	0.41
108	130	0.324	0.196	0.45	0.38
190	222	0.324	0.065	0.54	0.27
113	136	0.323	0.101	0.51	0.32
125	202	0.323	0.212	0.53	0.42
125	174	0.322	0.201	0.65	0.55
24	214	0.322	0.102	0.41	0.27
7	108	0.322	0.143	0.51	0.35
30	169	0.322	0.199	0.55	0.45
115	184	0.322	0.157	0.35	0.30
22	99	0.322	0.112	0.35	0.31
96	214	0.321	0.151	0.65	0.48
134	215	0.321	0.130	0.56	0.35
20	166	0.321	0.144	0.57	0.40
25	94	0.321	0.116	0.58	0.41
10	29	0.321	0.125	0.34	0.24
21	198	0.321	0.131	0.26	0.20
8	195	0.320	0.064	0.68	0.35
59	126	0.320	0.221	0.52	0.46
184	192	0.319	0.249	0.38	0.37
125	193	0.319	0.268	0.41	0.38
136	141	0.318	0.253	0.63	0.55
95	170	0.318	0.281	0.46	0.37
30	68	0.318	0.172	0.54	0.44
28	158	0.318	0.078	0.49	0.31
111	115	0.318	0.110	0.48	0.36
21	99	0.318	0.242	0.51	0.46
133	227	0.318	0.247	0.61	0.56
152	214	0.317	0.096	0.57	0.32
33	225	0.317	0.063	0.54	0.23
134	227	0.317	0.207	0.59	0.51
125	139	0.317	0.270	0.61	0.55
128	141	0.317	0.297	0.64	0.63
142	207	0.317	0.121	0.65	0.35
26	93	0.317	0.216	0.45	0.39
188	214	0.316	0.098	0.54	0.33
59	191	0.316	0.197	0.54	0.42
133	141	0.316	0.280	0.65	0.63
31	192	0.315	0.169	0.69	0.56
1	191	0.315	0.225	0.43	0.37
106	170	0.315	0.204	0.56	0.47
94	233	0.315	0.204	0.70	0.52
170	206	0.315	0.113	0.49	0.31
23	210	0.315	0.063	0.32	0.22
110	130	0.315	0.244	0.51	0.46
74	91	0.315	0.105	0.38	0.27
62	148	0.314	0.186	0.47	0.43
4	139	0.314	0.148	0.66	0.44
95	108	0.314	0.151	0.40	0.34
