i	j	iLIS_best	iLIS_avg	ipTM_best
812	817	0.731	0.725	0.96
12937	816	0.731	0.720	0.92
772	10457	0.731	0.719	0.42
7754	2569	0.731	0.686	0.71
112	6170	0.730	0.693	0.93
4750	9932	0.730	0.308	0.67
8860	7390	0.730	0.683	0.33
11181	2250	0.729	0.146	0.86
12131	781	0.728	0.714	0.74
11398	560	0.728	0.713	0.90
7240	3712	0.728	0.085	0.87
13346	2250	0.727	0.271	0.84
12485	11164	0.727	0.684	0.60
108	13817	0.726	0.697	0.94
9651	7869	0.725	0.145	0.70
11507	12256	0.725	0.167	0.90
7761	3673	0.724	0.702	0.88
448	8808	0.724	0.702	0.67
12933	8993	0.723	0.323	0.56
10333	8655	0.723	0.718	0.50
12485	11165	0.723	0.683	0.61
9467	9466	0.722	0.705	0.89
110	13817	0.722	0.694	0.94
11714	13480	0.721	0.711	0.90
1401	2524	0.721	0.536	0.87
8625	2032	0.720	0.551	0.76
6706	6111	0.720	0.426	0.82
11740	3283	0.720	0.704	0.32
1020	3254	0.719	0.227	0.90
998	11870	0.719	0.634	0.93
13638	8424	0.719	0.697	0.38
11415	11450	0.718	0.321	0.83
11774	12504	0.718	0.713	0.82
13023	126	0.718	0.659	0.56
11960	11961	0.718	0.708	0.59
7083	7082	0.718	0.700	0.91
8655	7390	0.718	0.692	0.55
9542	11639	0.717	0.699	0.30
10212	11415	0.717	0.150	0.86
852	11448	0.717	0.147	0.78
11394	3998	0.716	0.638	0.94
6111	12558	0.716	0.661	0.81
11395	3998	0.716	0.640	0.94
8005	11412	0.716	0.161	0.81
11698	5977	0.715	0.695	0.86
12131	683	0.715	0.705	0.66
9458	12774	0.714	0.701	0.89
11411	9601	0.713	0.690	0.85
998	13480	0.713	0.705	0.90
11774	12500	0.713	0.701	0.88
5914	6717	0.713	0.703	0.85
10457	728	0.713	0.700	0.43
327	7805	0.713	0.655	0.60
13543	7480	0.713	0.680	0.61
11204	10637	0.713	0.702	0.64
11690	3624	0.712	0.142	0.85
1009	6946	0.712	0.694	0.91
6468	3283	0.712	0.703	0.31
12047	192	0.712	0.698	0.86
12048	192	0.712	0.698	0.86
9007	12558	0.712	0.702	0.79
11415	6293	0.712	0.142	0.78
13023	12780	0.711	0.697	0.73
328	9387	0.711	0.677	0.51
10212	7184	0.711	0.517	0.91
11398	3998	0.711	0.646	0.89
1240	12652	0.710	0.629	0.50
8562	9106	0.710	0.694	0.51
2837	1339	0.709	0.700	0.91
12851	12256	0.709	0.237	0.88
8994	2387	0.709	0.500	0.68
13671	11448	0.709	0.506	0.83
9371	1020	0.708	0.617	0.94
7242	3712	0.708	0.197	0.85
12397	7761	0.708	0.677	0.78
11774	12499	0.708	0.684	0.89
1335	5819	0.708	0.296	0.82
7390	13522	0.708	0.695	0.37
7758	7627	0.708	0.655	0.63
5899	5897	0.708	0.686	0.92
11659	4751	0.707	0.694	0.69
12265	13956	0.707	0.686	0.88
8665	11402	0.707	0.264	0.89
8002	479	0.706	0.693	0.39
12933	934	0.706	0.704	0.50
13512	7676	0.706	0.250	0.49
852	2524	0.705	0.148	0.85
8831	8762	0.705	0.541	0.69
13075	3044	0.705	0.691	0.75
6561	13262	0.705	0.327	0.72
11319	11615	0.705	0.644	0.40
11755	9932	0.705	0.349	0.70
12484	2915	0.704	0.693	0.67
10211	12551	0.704	0.141	0.43
12065	12026	0.703	0.665	0.50
7241	6097	0.703	0.291	0.72
1683	11448	0.703	0.396	0.77
7927	8861	0.703	0.687	0.53
11823	6384	0.703	0.678	0.52
7927	12214	0.703	0.697	0.42
400	13090	0.703	0.636	0.87
8720	734	0.703	0.562	0.90
11677	11917	0.702	0.686	0.81
9601	2833	0.701	0.649	0.88
9667	10779	0.701	0.680	0.36
13989	6926	0.701	0.585	0.88
8562	8644	0.701	0.549	0.50
12851	8011	0.701	0.494	0.92
7229	9371	0.700	0.662	0.42
998	10998	0.700	0.610	0.87
8782	8831	0.700	0.433	0.70
7816	7480	0.700	0.655	0.88
13543	12651	0.699	0.609	0.61
11510	3558	0.698	0.269	0.81
5	288	0.698	0.225	0.79
6278	875	0.698	0.176	0.88
7269	1011	0.698	0.693	0.91
8349	8348	0.697	0.591	0.85
13632	12851	0.697	0.164	0.92
7282	2524	0.697	0.662	0.82
7754	7751	0.697	0.653	0.41
12142	12717	0.697	0.612	0.89
582	11402	0.697	0.200	0.86
9067	9048	0.697	0.357	0.83
1821	5740	0.697	0.665	0.80
11615	12215	0.697	0.263	0.48
7816	12652	0.697	0.584	0.88
1011	6946	0.696	0.685	0.92
13543	12652	0.696	0.594	0.61
8146	3998	0.696	0.650	0.72
10060	10054	0.696	0.692	0.80
11395	10935	0.696	0.422	0.90
2118	5415	0.696	0.643	0.32
11395	2801	0.696	0.685	0.91
10943	7381	0.695	0.676	0.77
7751	7758	0.695	0.673	0.45
9324	13361	0.695	0.650	0.34
12498	6947	0.695	0.678	0.79
1451	5976	0.694	0.161	0.36
13369	13370	0.694	0.687	0.92
8005	11396	0.693	0.307	0.85
7216	10935	0.693	0.244	0.46
5977	11699	0.693	0.675	0.84
7171	12509	0.693	0.674	0.31
7259	7866	0.693	0.667	0.73
11394	10935	0.693	0.412	0.90
6293	4145	0.693	0.139	0.74
12651	1240	0.693	0.622	0.50
8965	2285	0.692	0.248	0.66
8146	8995	0.692	0.661	0.68
11394	139	0.692	0.138	0.89
10935	11510	0.692	0.440	0.86
11394	8995	0.691	0.668	0.91
9051	9089	0.691	0.233	0.71
9730	9186	0.691	0.341	0.58
7942	11448	0.691	0.472	0.78
8562	13632	0.690	0.591	0.50
8993	4596	0.690	0.248	0.59
10212	12256	0.690	0.138	0.88
9680	6633	0.689	0.124	0.77
9601	11450	0.689	0.319	0.83
12851	1420	0.689	0.276	0.88
11864	13710	0.689	0.666	0.93
1860	8167	0.689	0.145	0.54
12842	394	0.688	0.629	0.85
852	3125	0.688	0.287	0.72
11464	570	0.688	0.543	0.91
9651	7871	0.688	0.524	0.54
11658	11657	0.688	0.648	0.53
7229	732	0.687	0.476	0.37
8782	8762	0.687	0.537	0.69
8286	7563	0.687	0.682	0.89
8127	13957	0.687	0.546	0.89
11398	10935	0.687	0.283	0.84
198	2739	0.687	0.534	0.77
7520	7390	0.687	0.652	0.35
10322	3506	0.687	0.137	0.47
998	13710	0.686	0.673	0.92
336	338	0.686	0.676	0.94
1529	12466	0.686	0.166	0.74
8146	1650	0.686	0.650	0.67
13460	11411	0.686	0.404	0.85
6064	3712	0.686	0.208	0.87
8562	8719	0.685	0.561	0.50
6293	9708	0.685	0.137	0.84
11412	1335	0.685	0.249	0.78
10212	8166	0.685	0.144	0.92
11181	10754	0.685	0.409	0.75
198	1860	0.684	0.137	0.54
6250	12652	0.684	0.665	0.72
198	12851	0.684	0.195	0.85
8005	11450	0.684	0.200	0.80
6090	3124	0.684	0.416	0.80
12851	11019	0.683	0.373	0.92
11398	8994	0.683	0.617	0.87
385	504	0.683	0.668	0.91
9975	566	0.683	0.389	0.35
11864	11878	0.683	0.581	0.93
8146	9601	0.683	0.137	0.85
7914	7915	0.683	0.633	0.80
13543	11924	0.683	0.629	0.62
12933	6293	0.683	0.273	0.75
10420	6209	0.683	0.654	0.31
7758	8712	0.682	0.665	0.51
9435	2710	0.682	0.673	0.84
7754	7757	0.682	0.663	0.49
10212	8165	0.681	0.289	0.88
12228	11615	0.681	0.136	0.39
7754	7758	0.681	0.662	0.46
12509	6384	0.681	0.665	0.48
13482	12851	0.681	0.649	0.91
7751	7753	0.681	0.631	0.44
7816	12651	0.681	0.587	0.86
13160	394	0.681	0.136	0.84
13563	8898	0.680	0.639	0.34
6633	3207	0.680	0.351	0.76
1760	1389	0.680	0.668	0.25
646	11390	0.680	0.594	0.90
12008	8928	0.680	0.621	0.65
13519	13067	0.679	0.646	0.84
11714	13710	0.679	0.493	0.91
822	11025	0.679	0.670	0.72
198	11450	0.679	0.249	0.79
8146	8994	0.679	0.612	0.70
7229	9093	0.679	0.409	0.38
7216	7670	0.679	0.243	0.47
11464	9601	0.679	0.550	0.85
7216	12136	0.679	0.253	0.47
7138	13773	0.678	0.259	0.50
6506	10537	0.678	0.619	0.34
8200	6926	0.678	0.237	0.86
2330	1951	0.678	0.653	0.90
11394	11323	0.678	0.613	0.95
8898	3784	0.677	0.653	0.59
7206	2970	0.677	0.650	0.79
11394	11415	0.677	0.196	0.86
7241	5017	0.677	0.360	0.80
570	11411	0.677	0.499	0.86
1009	7273	0.677	0.657	0.93
6633	6044	0.677	0.265	0.82
8665	11450	0.676	0.250	0.79
10935	11402	0.676	0.148	0.86
11888	11615	0.676	0.243	0.41
7395	2524	0.676	0.499	0.91
7754	7756	0.676	0.652	0.43
9667	3158	0.676	0.643	0.34
13696	13391	0.676	0.580	0.90
2569	9790	0.675	0.649	0.67
10935	11609	0.675	0.357	0.46
7752	10457	0.675	0.649	0.62
7163	7162	0.675	0.651	0.77
11402	8881	0.675	0.245	0.88
11412	13823	0.675	0.135	0.81
10212	13064	0.675	0.635	0.86
8019	12851	0.675	0.591	0.91
12250	12851	0.674	0.410	0.92
7754	8929	0.674	0.640	0.52
12851	8901	0.674	0.329	0.85
12651	6250	0.674	0.647	0.71
7049	8202	0.674	0.665	0.48
12250	9934	0.673	0.236	0.44
10772	11608	0.673	0.135	0.22
11729	11728	0.673	0.625	0.90
13990	6926	0.673	0.254	0.84
10212	4062	0.673	0.188	0.87
7922	7921	0.673	0.654	0.68
12500	8197	0.673	0.652	0.91
8575	12851	0.673	0.336	0.91
3764	579	0.673	0.262	0.78
1014	847	0.673	0.642	0.93
9793	2739	0.673	0.304	0.78
11411	12456	0.673	0.307	0.81
7627	8712	0.673	0.626	0.38
8993	8878	0.672	0.305	0.55
11395	11323	0.672	0.601	0.94
43	7749	0.672	0.641	0.53
8095	7390	0.672	0.657	0.45
7216	11415	0.672	0.270	0.45
11394	11455	0.672	0.663	0.90
1529	9790	0.672	0.522	0.77
4145	11615	0.672	0.236	0.47
2457	1416	0.671	0.134	0.81
998	7026	0.671	0.624	0.91
13797	13803	0.671	0.655	0.87
7216	1335	0.671	0.223	0.46
69	2524	0.671	0.247	0.86
9067	9050	0.671	0.199	0.78
11510	4062	0.670	0.452	0.87
11395	8994	0.670	0.632	0.93
198	11615	0.670	0.323	0.38
12466	8108	0.670	0.308	0.78
11695	6278	0.670	0.359	0.76
2931	385	0.670	0.198	0.75
11858	12717	0.669	0.124	0.77
6293	8901	0.669	0.443	0.74
10344	3361	0.669	0.619	0.90
11450	4062	0.669	0.270	0.82
10541	4133	0.669	0.536	0.85
998	8337	0.669	0.637	0.94
3090	12132	0.669	0.134	0.27
6561	13147	0.669	0.384	0.66
10509	394	0.669	0.187	0.89
7282	2739	0.669	0.179	0.68
12499	8197	0.668	0.636	0.91
1170	1487	0.668	0.666	0.90
13515	7390	0.668	0.634	0.34
13643	12851	0.668	0.369	0.91
6293	7005	0.668	0.134	0.77
399	386	0.668	0.655	0.86
1526	5351	0.668	0.626	0.79
11714	3572	0.668	0.658	0.92
7751	7756	0.668	0.645	0.45
7241	2887	0.667	0.133	0.74
13519	3407	0.667	0.631	0.81
6890	334	0.667	0.645	0.29
1451	6926	0.667	0.360	0.89
11698	13083	0.667	0.658	0.82
11411	7409	0.667	0.261	0.83
9079	11507	0.667	0.147	0.88
13075	1181	0.667	0.651	0.74
7216	4062	0.667	0.371	0.48
11227	8975	0.666	0.164	0.84
7241	1135	0.666	0.356	0.79
8562	9487	0.666	0.611	0.49
9934	11019	0.666	0.427	0.45
6543	3207	0.666	0.133	0.75
13041	13017	0.666	0.636	0.30
683	394	0.666	0.292	0.81
7188	6561	0.666	0.659	0.70
1406	2701	0.666	0.639	0.64
7535	394	0.665	0.133	0.87
11864	11880	0.665	0.634	0.88
7216	11819	0.665	0.283	0.47
8644	9739	0.665	0.468	0.34
11402	9795	0.665	0.343	0.85
12183	7241	0.665	0.593	0.84
420	413	0.665	0.642	0.93
7216	13822	0.664	0.145	0.47
12074	12068	0.664	0.644	0.86
8896	12658	0.664	0.653	0.64
8883	2285	0.664	0.258	0.60
11624	12203	0.664	0.628	0.60
2169	4597	0.664	0.364	0.38
11368	11367	0.663	0.645	0.56
13990	13851	0.663	0.152	0.57
198	11412	0.663	0.139	0.77
13842	13876	0.662	0.641	0.38
12681	817	0.662	0.160	0.27
6056	7871	0.662	0.634	0.47
3593	8938	0.662	0.612	0.79
12499	6494	0.662	0.638	0.94
2428	3558	0.662	0.153	0.77
10658	12696	0.661	0.591	0.36
9272	9301	0.661	0.654	0.34
12851	944	0.661	0.183	0.86
11463	13202	0.661	0.636	0.87
8091	394	0.661	0.495	0.85
7754	7627	0.661	0.626	0.59
13696	11390	0.661	0.420	0.82
10452	9934	0.661	0.140	0.39
1962	12005	0.661	0.275	0.83
8078	1860	0.661	0.132	0.51
12002	11971	0.661	0.257	0.81
9301	11823	0.661	0.640	0.62
11464	13460	0.660	0.487	0.89
7751	7757	0.660	0.647	0.48
8005	11463	0.660	0.274	0.84
8562	9901	0.660	0.565	0.50
1293	394	0.660	0.146	0.82
12228	11165	0.660	0.524	0.41
10212	6757	0.660	0.633	0.91
447	7758	0.660	0.609	0.47
8200	7221	0.660	0.258	0.81
7754	7753	0.659	0.626	0.47
11415	11510	0.659	0.229	0.82
12842	2285	0.659	0.480	0.60
499	505	0.659	0.639	0.93
13156	13157	0.659	0.654	0.63
11624	13217	0.659	0.624	0.61
9277	30	0.658	0.462	0.77
12851	13262	0.658	0.573	0.91
1609	3998	0.658	0.592	0.67
11463	4704	0.658	0.208	0.88
11411	6623	0.658	0.532	0.84
8018	9932	0.658	0.205	0.74
8146	8308	0.658	0.569	0.70
8808	8783	0.658	0.638	0.60
11398	11323	0.658	0.594	0.88
12541	12681	0.657	0.263	0.35
571	11397	0.657	0.351	0.90
837	11615	0.657	0.382	0.38
563	243	0.657	0.138	0.82
11402	9079	0.657	0.131	0.86
7432	367	0.657	0.631	0.38
8719	1860	0.657	0.212	0.52
13158	8071	0.657	0.482	0.26
411	2996	0.657	0.396	0.85
7756	7758	0.656	0.631	0.47
9272	6384	0.656	0.641	0.46
12335	10283	0.656	0.273	0.74
11714	10998	0.656	0.496	0.85
10212	2184	0.656	0.217	0.84
8131	10197	0.656	0.157	0.19
7793	13672	0.656	0.637	0.57
8562	8576	0.656	0.597	0.49
7229	3254	0.656	0.131	0.37
8721	4849	0.656	0.239	0.33
13956	935	0.656	0.170	0.23
383	11255	0.656	0.641	0.91
10607	9568	0.655	0.261	0.76
7755	10457	0.655	0.581	0.43
8444	898	0.655	0.474	0.64
11411	10935	0.655	0.510	0.81
13095	11450	0.655	0.483	0.82
7216	11181	0.655	0.158	0.43
5765	13546	0.655	0.612	0.86
362	11615	0.655	0.441	0.40
11394	8307	0.655	0.631	0.93
10879	8408	0.655	0.131	0.34
7816	7505	0.655	0.501	0.89
129	128	0.655	0.644	0.44
13851	6826	0.655	0.214	0.56
12851	13830	0.655	0.131	0.92
8651	394	0.654	0.137	0.86
7473	9290	0.654	0.618	0.75
7941	8108	0.654	0.384	0.79
11395	4062	0.654	0.334	0.87
11001	3283	0.654	0.631	0.34
10801	1566	0.654	0.266	0.78
10212	13202	0.654	0.604	0.85
9048	9089	0.653	0.351	0.64
7216	8665	0.653	0.186	0.44
7242	10280	0.653	0.135	0.87
11447	12851	0.653	0.152	0.77
12890	7805	0.653	0.458	0.53
11963	8534	0.653	0.232	0.93
9682	3613	0.653	0.159	0.90
7259	7871	0.653	0.623	0.51
9007	12618	0.653	0.575	0.83
12717	439	0.653	0.133	0.85
570	11412	0.652	0.146	0.86
11864	8178	0.652	0.631	0.93
8644	11397	0.652	0.419	0.81
1746	1444	0.652	0.638	0.51
8108	7173	0.652	0.340	0.77
11321	11510	0.652	0.311	0.85
13155	1138	0.652	0.130	0.84
11677	13270	0.652	0.362	0.71
1020	732	0.652	0.599	0.85
11696	13081	0.652	0.636	0.75
13394	13696	0.651	0.473	0.77
1108	6468	0.651	0.637	0.33
11983	13017	0.651	0.222	0.85
13203	13851	0.651	0.362	0.58
10344	9115	0.651	0.592	0.87
837	11402	0.651	0.211	0.82
13173	11507	0.651	0.132	0.76
8993	379	0.650	0.354	0.83
608	11510	0.650	0.249	0.85
2002	2965	0.650	0.569	0.86
2900	9333	0.650	0.645	0.75
7914	244	0.650	0.130	0.84
13460	11450	0.650	0.161	0.85
13202	9934	0.650	0.483	0.82
8019	9934	0.650	0.214	0.41
899	898	0.650	0.635	0.90
9367	11949	0.650	0.560	0.69
7666	5494	0.649	0.166	0.37
13098	13099	0.649	0.631	0.43
12851	5030	0.649	0.251	0.85
13796	3351	0.649	0.632	0.68
10795	240	0.649	0.130	0.86
13095	1860	0.649	0.157	0.50
8549	328	0.649	0.381	0.52
7658	7895	0.649	0.578	0.39
9601	11397	0.648	0.369	0.83
563	11510	0.648	0.557	0.83
8076	8993	0.648	0.331	0.54
12539	10212	0.648	0.152	0.89
13989	12851	0.648	0.417	0.89
10795	233	0.648	0.326	0.87
12065	13565	0.647	0.633	0.78
3598	12202	0.647	0.307	0.24
6293	2870	0.647	0.129	0.76
7981	2930	0.647	0.620	0.55
11395	8308	0.647	0.506	0.93
7751	13063	0.647	0.605	0.47
13095	10212	0.647	0.500	0.87
13157	6926	0.647	0.565	0.87
12678	7915	0.647	0.598	0.79
12851	13769	0.647	0.302	0.90
12485	2194	0.647	0.620	0.67
7749	514	0.647	0.529	0.40
3135	11293	0.647	0.474	0.75
7271	1017	0.646	0.627	0.90
7495	7965	0.646	0.129	0.87
11319	6561	0.646	0.267	0.71
11510	1420	0.646	0.132	0.85
6298	3283	0.646	0.600	0.30
7757	7390	0.646	0.285	0.54
12509	9186	0.646	0.601	0.70
1534	6235	0.646	0.610	0.45
12254	1071	0.646	0.153	0.48
11412	9601	0.646	0.129	0.82
11402	4592	0.645	0.129	0.89
8575	11510	0.645	0.216	0.83
1011	847	0.645	0.598	0.92
7943	2831	0.645	0.244	0.89
9282	6490	0.645	0.613	0.64
2318	1948	0.645	0.445	0.85
11930	11317	0.645	0.634	0.47
11398	13303	0.645	0.165	0.82
10017	8938	0.645	0.590	0.77
8000	2285	0.644	0.273	0.33
954	13841	0.644	0.625	0.40
7241	2363	0.644	0.383	0.75
12290	2996	0.644	0.256	0.77
5430	12851	0.644	0.449	0.84
3391	10456	0.644	0.620	0.30
7753	7756	0.644	0.598	0.48
11463	13158	0.644	0.349	0.88
7753	7758	0.644	0.604	0.48
9847	9849	0.644	0.627	0.79
13956	9514	0.644	0.493	0.52
9371	6524	0.643	0.583	0.85
13095	11412	0.643	0.493	0.80
11063	12851	0.643	0.187	0.91
2247	12917	0.643	0.550	0.50
2250	3558	0.643	0.449	0.80
8993	5351	0.643	0.545	0.55
8301	8265	0.643	0.625	0.87
6293	8341	0.643	0.134	0.81
683	11402	0.643	0.188	0.84
729	8456	0.643	0.619	0.84
9057	8890	0.643	0.479	0.85
11392	11507	0.643	0.144	0.84
30	1293	0.642	0.128	0.75
12503	11507	0.642	0.186	0.80
13665	11108	0.642	0.497	0.54
8131	4056	0.642	0.184	0.67
8234	9682	0.642	0.568	0.88
7753	8861	0.642	0.592	0.45
11624	572	0.642	0.608	0.61
2387	12063	0.642	0.395	0.66
10935	11448	0.642	0.129	0.72
12068	9634	0.642	0.149	0.74
8861	10371	0.642	0.409	0.47
6373	13464	0.642	0.630	0.88
8901	9932	0.641	0.581	0.70
2250	4062	0.641	0.128	0.87
12539	12851	0.641	0.466	0.92
6605	1427	0.641	0.579	0.42
852	11450	0.641	0.394	0.79
10961	244	0.641	0.334	0.88
3346	6506	0.641	0.631	0.34
6253	6408	0.641	0.482	0.70
138	6154	0.640	0.562	0.25
8720	355	0.640	0.039	0.85
6221	8899	0.640	0.547	0.59
8576	2524	0.640	0.253	0.85
12185	2739	0.640	0.154	0.72
11037	7407	0.640	0.613	0.89
6293	2438	0.640	0.128	0.74
12851	67	0.640	0.386	0.90
92	5014	0.640	0.128	0.78
11403	12499	0.639	0.607	0.93
12014	11975	0.639	0.627	0.77
7999	1566	0.639	0.352	0.75
837	243	0.639	0.614	0.85
11412	8882	0.639	0.456	0.81
12640	6761	0.639	0.449	0.44
12668	9932	0.639	0.291	0.78
9272	2491	0.639	0.488	0.65
7204	12413	0.639	0.250	0.80
566	12596	0.639	0.570	0.69
8099	2002	0.639	0.132	0.72
1071	10297	0.638	0.268	0.52
12053	11970	0.638	0.451	0.68
39	11213	0.638	0.524	0.27
12509	11823	0.638	0.612	0.58
13177	10265	0.638	0.583	0.42
12561	6111	0.638	0.370	0.77
13841	8035	0.638	0.586	0.37
7816	6638	0.638	0.626	0.87
7821	12717	0.637	0.112	0.92
850	11615	0.637	0.279	0.52
12728	12729	0.637	0.583	0.85
9301	13017	0.637	0.458	0.26
384	5600	0.636	0.130	0.68
11395	3687	0.636	0.356	0.84
11411	571	0.636	0.473	0.86
11823	5415	0.636	0.446	0.53
7611	7765	0.636	0.618	0.49
7702	8227	0.636	0.616	0.60
10320	6633	0.636	0.323	0.80
10212	8076	0.636	0.214	0.88
2250	9685	0.636	0.145	0.79
11001	1108	0.636	0.624	0.41
11400	5738	0.636	0.242	0.65
6468	4131	0.636	0.616	0.30
5618	2524	0.636	0.369	0.82
7174	11615	0.636	0.127	0.75
11104	11107	0.636	0.620	0.76
7557	9932	0.636	0.183	0.69
11398	10562	0.636	0.577	0.86
11402	1598	0.636	0.264	0.90
13025	7761	0.635	0.519	0.81
13543	1924	0.635	0.627	0.62
13033	13034	0.635	0.610	0.81
12610	9773	0.635	0.625	0.43
13563	11767	0.635	0.132	0.59
7229	1300	0.635	0.519	0.38
11741	11754	0.635	0.490	0.84
11714	8178	0.635	0.608	0.92
11411	4062	0.635	0.127	0.77
8074	2524	0.635	0.424	0.80
7172	9739	0.635	0.441	0.36
12430	8720	0.635	0.324	0.48
10288	10290	0.635	0.616	0.81
12265	13162	0.635	0.516	0.66
12240	9934	0.634	0.269	0.40
12334	8108	0.634	0.351	0.82
1860	12133	0.634	0.139	0.54
7702	8228	0.634	0.546	0.49
11510	12495	0.634	0.296	0.83
13671	6293	0.634	0.142	0.79
8893	5755	0.634	0.181	0.44
11678	13081	0.634	0.560	0.75
11819	30	0.634	0.238	0.78
11394	13663	0.634	0.593	0.91
3090	9607	0.634	0.135	0.30
7757	7758	0.634	0.624	0.50
12058	12069	0.634	0.564	0.66
8078	4849	0.634	0.127	0.34
10333	7221	0.633	0.449	0.79
13346	1414	0.633	0.480	0.82
10974	9530	0.633	0.627	0.56
8017	11412	0.633	0.150	0.80
1207	713	0.633	0.593	0.57
2250	3731	0.633	0.340	0.78
4133	7390	0.633	0.384	0.83
13037	13034	0.633	0.622	0.42
2333	2456	0.633	0.363	0.80
4744	1974	0.632	0.235	0.65
7273	1014	0.632	0.612	0.92
13203	8108	0.632	0.144	0.78
10764	1860	0.632	0.126	0.54
12427	7610	0.632	0.564	0.39
359	353	0.632	0.577	0.44
11747	5977	0.632	0.609	0.82
7869	8378	0.632	0.604	0.78
8655	394	0.632	0.129	0.79
11398	4062	0.632	0.236	0.84
1615	2362	0.632	0.501	0.39
4062	11608	0.632	0.126	0.43
13005	12596	0.632	0.620	0.71
3391	9011	0.632	0.616	0.29
8898	2250	0.632	0.584	0.78
9550	12851	0.632	0.551	0.88
11367	725	0.632	0.231	0.35
240	9451	0.631	0.320	0.80
11746	11754	0.631	0.469	0.82
6173	12201	0.631	0.172	0.75
6294	5513	0.631	0.126	0.29
13109	2524	0.631	0.381	0.93
10212	6889	0.631	0.310	0.92
7474	7221	0.631	0.371	0.83
12650	12649	0.631	0.596	0.90
13394	6046	0.631	0.126	0.78
2250	7913	0.631	0.245	0.85
12064	12069	0.630	0.183	0.61
1020	4827	0.630	0.465	0.89
11714	5977	0.630	0.609	0.83
1746	2501	0.630	0.615	0.44
11588	11962	0.630	0.214	0.29
9739	9485	0.630	0.353	0.32
11412	6623	0.630	0.528	0.82
13477	11300	0.630	0.483	0.39
10116	12022	0.630	0.301	0.53
11447	2739	0.629	0.434	0.65
3142	1860	0.629	0.188	0.50
11463	13095	0.629	0.491	0.87
8301	11189	0.629	0.592	0.86
11400	9116	0.629	0.613	0.71
11714	8533	0.629	0.481	0.88
7627	8993	0.629	0.165	0.50
564	10371	0.629	0.367	0.57
13063	1012	0.629	0.176	0.30
7450	394	0.629	0.212	0.82
11394	9601	0.629	0.215	0.84
6948	13392	0.629	0.604	0.92
233	11476	0.629	0.126	0.88
11001	13998	0.628	0.624	0.45
