i	j	iLIS_best	iLIS_avg	ipTM_best	src
115	20	0.443	0.394	0.58	1
48	90	0.440	0.216	0.69	1
95	141	0.440	0.407	0.75	1
47	116	0.438	0.132	0.47	1
43	95	0.435	0.396	0.81	1
86	97	0.435	0.362	0.76	1
80	184	0.434	0.266	0.58	1
52	93	0.434	0.175	0.50	1
80	110	0.433	0.388	0.71	1
99	156	0.433	0.315	0.78	1
0	120	0.432	0.086	0.51	1
156	101	0.432	0.299	0.63	1
42	176	0.432	0.206	0.36	1
43	97	0.431	0.383	0.77	1
156	86	0.430	0.385	0.78	1
55	141	0.429	0.357	0.53	1
36	87	0.428	0.086	0.50	1
36	44	0.428	0.086	0.68	1
28	135	0.427	0.227	0.59	1
147	137	0.427	0.387	0.74	1
18	115	0.427	0.361	0.66	1
47	93	0.427	0.215	0.51	1
94	71	0.426	0.266	0.76	1
105	18	0.425	0.124	0.59	1
72	100	0.424	0.199	0.66	1
40	87	0.424	0.180	0.51	1
24	87	0.423	0.192	0.51	1
80	114	0.423	0.269	0.48	1
131	147	0.423	0.370	0.56	1
106	169	0.421	0.084	0.55	1
181	16	0.420	0.385	0.78	1
101	94	0.420	0.348	0.69	1
99	93	0.420	0.346	0.41	1
135	182	0.420	0.213	0.74	1
157	24	0.420	0.084	0.48	1
112	169	0.419	0.084	0.53	1
14	137	0.419	0.084	0.79	1
112	98	0.418	0.084	0.58	1
68	43	0.418	0.184	0.26	1
43	141	0.417	0.295	0.58	1
86	3	0.416	0.288	0.46	1
174	87	0.416	0.223	0.54	1
183	114	0.414	0.297	0.45	1
150	87	0.412	0.162	0.52	1
89	106	0.411	0.082	0.54	1
39	177	0.409	0.082	0.46	1
169	162	0.409	0.257	0.68	1
11	110	0.407	0.090	0.67	1
183	22	0.407	0.341	0.56	1
86	87	0.407	0.172	0.52	1
16	124	0.407	0.169	0.79	1
99	5	0.405	0.275	0.35	1
180	136	0.405	0.213	0.60	1
79	7	0.404	0.244	0.60	1
86	94	0.403	0.382	0.75	1
80	17	0.403	0.316	0.39	1
121	80	0.403	0.320	0.59	1
102	83	0.403	0.380	0.51	1
16	115	0.401	0.380	0.70	1
80	153	0.400	0.170	0.42	1
186	29	0.399	0.227	0.39	1
46	25	0.399	0.322	0.67	1
103	97	0.399	0.325	0.74	1
169	62	0.398	0.080	0.40	1
21	182	0.397	0.189	0.83	1
57	150	0.396	0.129	0.48	1
89	120	0.395	0.122	0.54	1
57	182	0.395	0.339	0.58	1
172	138	0.394	0.260	0.65	1
59	40	0.394	0.258	0.47	1
37	132	0.394	0.079	0.43	1
15	124	0.394	0.092	0.69	1
126	124	0.392	0.298	0.59	1
101	97	0.391	0.351	0.75	1
112	114	0.391	0.313	0.54	1
91	174	0.391	0.155	0.46	1
89	186	0.388	0.171	0.41	1
106	84	0.386	0.142	0.47	1
149	26	0.386	0.116	0.59	1
80	120	0.386	0.196	0.46	1
14	73	0.386	0.094	0.69	1
123	114	0.385	0.189	0.49	1
125	114	0.383	0.338	0.56	1
89	72	0.380	0.093	0.60	1
99	73	0.379	0.133	0.69	1
89	78	0.379	0.104	0.42	1
90	30	0.378	0.134	0.52	1
156	43	0.378	0.305	0.76	1
79	73	0.377	0.228	0.72	1
77	116	0.376	0.127	0.40	1
86	186	0.376	0.106	0.41	1
8	145	0.375	0.084	0.58	1
121	39	0.374	0.075	0.40	1
97	141	0.373	0.315	0.70	1
91	5	0.373	0.340	0.45	1
100	114	0.372	0.154	0.41	1
43	40	0.372	0.098	0.42	1
24	146	0.372	0.153	0.54	1
83	29	0.372	0.136	0.34	1
112	160	0.372	0.100	0.41	1
52	40	0.370	0.204	0.45	1
172	96	0.370	0.153	0.66	1
18	92	0.370	0.324	0.41	1
22	24	0.370	0.138	0.49	1
112	77	0.369	0.274	0.49	1
89	93	0.368	0.236	0.45	1
55	86	0.368	0.279	0.47	1
116	115	0.367	0.336	0.57	1
96	87	0.366	0.081	0.51	1
72	132	0.365	0.073	0.57	1
52	76	0.364	0.301	0.54	1
79	72	0.364	0.116	0.64	1
172	74	0.364	0.191	0.63	1
61	60	0.363	0.327	0.46	1
102	107	0.363	0.083	0.46	1
97	56	0.362	0.340	0.71	1
110	24	0.361	0.088	0.59	1
147	38	0.361	0.072	0.47	1
43	94	0.360	0.198	0.74	1
175	96	0.360	0.110	0.49	1
30	72	0.360	0.146	0.53	1
22	154	0.360	0.081	0.53	1
163	29	0.359	0.072	0.77	1
177	153	0.358	0.123	0.44	1
112	65	0.357	0.076	0.48	1
52	94	0.356	0.071	0.69	1
114	7	0.355	0.303	0.55	1
5	90	0.355	0.089	0.62	1
94	87	0.354	0.271	0.68	1
157	87	0.354	0.224	0.51	1
5	13	0.354	0.247	0.32	1
80	125	0.353	0.160	0.50	1
123	124	0.353	0.296	0.58	1
47	124	0.353	0.247	0.62	1
24	65	0.352	0.171	0.45	1
99	14	0.351	0.083	0.40	1
170	118	0.351	0.199	0.67	1
126	96	0.351	0.137	0.45	1
110	17	0.349	0.182	0.63	1
97	71	0.349	0.326	0.68	1
104	56	0.347	0.286	0.41	1
110	66	0.347	0.179	0.62	1
99	56	0.347	0.283	0.42	1
79	130	0.346	0.289	0.60	1
80	41	0.346	0.071	0.39	1
99	94	0.345	0.306	0.75	1
153	114	0.345	0.229	0.44	1
68	53	0.344	0.187	0.26	1
46	16	0.344	0.177	0.65	1
52	39	0.344	0.071	0.54	1
124	114	0.343	0.288	0.69	1
163	63	0.342	0.314	0.69	1
97	150	0.341	0.160	0.70	1
171	117	0.341	0.168	0.73	1
86	64	0.341	0.092	0.66	1
149	140	0.340	0.106	0.59	1
79	80	0.340	0.095	0.45	1
52	182	0.340	0.140	0.28	1
12	63	0.340	0.072	0.66	1
157	67	0.339	0.143	0.42	1
86	141	0.338	0.298	0.52	1
110	96	0.337	0.161	0.68	1
111	93	0.337	0.278	0.48	1
92	114	0.337	0.201	0.41	1
151	167	0.337	0.175	0.37	1
40	61	0.336	0.137	0.45	1
99	92	0.336	0.125	0.44	1
129	24	0.336	0.090	0.62	1
105	85	0.335	0.099	0.57	1
130	13	0.335	0.126	0.57	1
5	111	0.335	0.256	0.46	1
157	78	0.335	0.067	0.43	1
26	182	0.334	0.138	0.52	1
160	27	0.333	0.111	0.52	1
172	66	0.332	0.107	0.56	1
102	85	0.332	0.066	0.47	1
19	172	0.332	0.253	0.59	1
42	118	0.332	0.066	0.62	1
99	95	0.332	0.308	0.74	1
39	65	0.330	0.104	0.49	1
176	96	0.330	0.149	0.36	1
6	90	0.330	0.131	0.48	1
160	111	0.329	0.158	0.40	1
91	43	0.328	0.191	0.44	1
130	136	0.327	0.189	0.51	1
157	146	0.327	0.089	0.53	1
52	78	0.327	0.076	0.40	1
183	17	0.327	0.071	0.49	1
101	95	0.326	0.263	0.65	1
157	138	0.325	0.065	0.56	1
172	111	0.324	0.257	0.60	1
111	100	0.323	0.087	0.50	1
171	91	0.323	0.223	0.46	1
124	86	0.323	0.148	0.55	1
90	24	0.322	0.191	0.49	1
15	86	0.322	0.124	0.66	1
19	130	0.322	0.184	0.51	1
80	73	0.322	0.130	0.59	1
52	114	0.321	0.250	0.40	1
150	100	0.321	0.214	0.46	1
64	71	0.321	0.070	0.53	1
3	114	0.320	0.254	0.46	1
86	13	0.320	0.214	0.37	1
111	114	0.319	0.217	0.52	1
99	97	0.319	0.295	0.69	1
59	60	0.318	0.286	0.45	1
129	94	0.317	0.288	0.65	1
177	85	0.316	0.244	0.37	1
116	114	0.316	0.143	0.39	1
104	141	0.315	0.224	0.46	1
150	71	0.315	0.281	0.57	1
178	167	0.315	0.063	0.67	1
4	7	0.315	0.063	0.42	1
101	26	0.314	0.122	0.65	1
89	91	0.314	0.180	0.46	1
80	124	0.314	0.196	0.57	1
58	114	0.314	0.113	0.39	1
79	87	0.314	0.186	0.57	1
68	129	0.313	0.151	0.69	1
131	111	0.313	0.191	0.50	1
79	112	0.313	0.188	0.53	1
164	184	0.312	0.062	0.68	1
131	150	0.310	0.154	0.41	1
157	130	0.309	0.230	0.54	1
0	89	0.309	0.208	0.43	1
79	121	0.308	0.178	0.58	1
52	90	0.308	0.120	0.62	1
107	29	0.308	0.127	0.56	1
80	134	0.307	0.119	0.60	1
80	176	0.307	0.241	0.37	1
135	184	0.307	0.061	0.53	1
147	17	0.307	0.092	0.44	1
120	182	0.307	0.061	0.52	1
136	4	0.305	0.104	0.51	1
80	94	0.305	0.061	0.65	1
52	130	0.304	0.161	0.56	1
99	55	0.304	0.208	0.47	1
157	114	0.304	0.180	0.40	1
112	173	0.304	0.149	0.46	1
172	17	0.304	0.080	0.53	1
19	158	0.304	0.093	0.49	1
56	182	0.303	0.180	0.46	1
177	16	0.303	0.061	0.67	1
53	101	0.302	0.081	0.45	1
28	161	0.301	0.178	0.48	1
177	40	0.301	0.060	0.42	1
80	97	0.300	0.159	0.65	1
151	114	0.300	0.258	0.44	1
28	66	0.300	0.133	0.57	1
85	138	0.300	0.123	0.45	1
101	130	0.299	0.091	0.51	1
103	118	0.298	0.224	0.56	1
42	97	0.298	0.060	0.69	1
52	110	0.297	0.173	0.59	1
156	103	0.296	0.269	0.74	1
48	144	0.296	0.059	0.43	1
89	114	0.295	0.176	0.38	1
101	132	0.295	0.134	0.65	1
79	152	0.295	0.206	0.54	1
34	95	0.295	0.084	0.64	1
121	106	0.294	0.059	0.54	1
15	74	0.294	0.059	0.66	1
123	86	0.293	0.135	0.28	1
80	75	0.293	0.108	0.35	1
107	72	0.292	0.163	0.51	1
101	100	0.292	0.140	0.51	1
74	176	0.292	0.102	0.48	1
99	153	0.291	0.129	0.42	1
134	116	0.291	0.137	0.49	1
90	92	0.291	0.103	0.32	1
110	174	0.290	0.076	0.60	1
57	58	0.289	0.144	0.50	1
79	43	0.289	0.110	0.29	1
79	129	0.289	0.061	0.70	1
174	120	0.289	0.142	0.39	1
68	44	0.289	0.100	0.45	1
171	86	0.288	0.136	0.30	1
99	110	0.288	0.095	0.66	1
135	56	0.288	0.266	0.56	1
156	56	0.288	0.251	0.66	1
179	95	0.288	0.166	0.62	1
84	58	0.287	0.057	0.36	1
175	7	0.287	0.131	0.40	1
156	71	0.286	0.242	0.53	1
83	26	0.286	0.057	0.41	1
116	186	0.285	0.104	0.36	1
73	100	0.285	0.200	0.63	1
102	4	0.284	0.144	0.32	1
47	146	0.284	0.168	0.42	1
81	41	0.284	0.096	0.43	1
99	118	0.284	0.205	0.61	1
63	164	0.282	0.227	0.61	1
56	67	0.282	0.202	0.40	1
77	67	0.282	0.150	0.44	1
58	120	0.281	0.135	0.48	1
80	3	0.280	0.113	0.43	1
62	141	0.280	0.101	0.31	1
99	91	0.280	0.200	0.40	1
163	100	0.280	0.087	0.60	1
153	87	0.280	0.159	0.37	1
136	114	0.280	0.193	0.58	1
80	141	0.280	0.124	0.47	1
79	151	0.279	0.117	0.47	1
105	87	0.279	0.143	0.44	1
111	184	0.279	0.206	0.48	1
34	39	0.279	0.076	0.52	1
184	167	0.279	0.068	0.44	1
95	118	0.279	0.209	0.69	1
52	136	0.279	0.164	0.51	1
51	29	0.278	0.056	0.54	1
166	63	0.278	0.222	0.61	1
157	46	0.277	0.129	0.70	1
80	98	0.277	0.137	0.41	1
126	120	0.276	0.148	0.43	1
43	128	0.276	0.099	0.62	1
80	25	0.275	0.104	0.57	1
6	163	0.275	0.055	0.68	1
90	153	0.274	0.055	0.53	1
124	125	0.273	0.128	0.44	1
99	111	0.272	0.228	0.46	1
52	6	0.272	0.114	0.64	1
123	125	0.272	0.132	0.48	1
106	52	0.272	0.147	0.50	1
19	31	0.272	0.054	0.49	1
33	31	0.271	0.054	0.34	1
183	130	0.271	0.149	0.52	1
155	92	0.271	0.079	0.43	1
69	67	0.271	0.193	0.43	1
157	110	0.271	0.071	0.69	1
15	41	0.270	0.063	0.43	1
79	71	0.270	0.054	0.58	1
145	90	0.269	0.254	0.47	1
160	182	0.269	0.086	0.39	1
19	73	0.268	0.152	0.60	1
136	100	0.268	0.142	0.53	1
43	127	0.268	0.119	0.62	1
13	146	0.268	0.086	0.36	1
90	66	0.267	0.071	0.56	1
135	66	0.267	0.111	0.61	1
178	31	0.267	0.104	0.38	1
99	141	0.266	0.238	0.47	1
43	158	0.266	0.053	0.36	1
76	144	0.265	0.053	0.46	1
172	116	0.265	0.134	0.55	1
86	125	0.265	0.130	0.43	1
111	67	0.265	0.114	0.38	1
131	157	0.264	0.074	0.38	1
165	64	0.264	0.162	0.64	1
0	23	0.263	0.082	0.51	1
35	182	0.263	0.058	0.46	1
131	43	0.262	0.052	0.39	1
36	114	0.261	0.052	0.47	1
80	27	0.261	0.062	0.49	1
175	110	0.260	0.229	0.61	1
136	120	0.260	0.192	0.52	1
91	77	0.259	0.131	0.43	1
92	138	0.259	0.168	0.49	1
112	43	0.259	0.089	0.47	1
157	152	0.259	0.096	0.50	1
57	141	0.258	0.244	0.50	1
14	165	0.258	0.125	0.52	1
67	87	0.258	0.185	0.49	1
39	141	0.258	0.104	0.46	1
157	172	0.257	0.077	0.64	1
125	35	0.257	0.194	0.55	1
157	73	0.257	0.174	0.60	1
103	141	0.256	0.205	0.49	1
43	7	0.256	0.115	0.48	1
79	30	0.256	0.051	0.33	1
34	71	0.255	0.071	0.58	1
47	114	0.255	0.164	0.46	1
107	184	0.255	0.057	0.44	1
17	144	0.254	0.051	0.28	1
154	114	0.254	0.087	0.58	1
52	141	0.254	0.147	0.44	1
77	146	0.253	0.116	0.45	1
153	146	0.253	0.137	0.38	1
77	66	0.252	0.050	0.41	1
112	3	0.252	0.126	0.44	1
126	125	0.252	0.158	0.49	1
77	114	0.252	0.111	0.47	1
6	107	0.250	0.144	0.54	1
125	30	0.250	0.143	0.47	1
80	52	0.249	0.102	0.37	1
12	111	0.249	0.050	0.47	1
156	80	0.248	0.050	0.56	1
13	132	0.248	0.050	0.41	1
169	40	0.247	0.109	0.33	1
77	92	0.247	0.151	0.38	1
80	130	0.247	0.130	0.48	1
112	93	0.247	0.114	0.45	1
80	151	0.247	0.105	0.41	1
168	31	0.247	0.094	0.51	1
0	106	0.246	0.059	0.37	1
158	87	0.246	0.119	0.49	1
112	115	0.246	0.097	0.38	1
97	96	0.245	0.060	0.66	1
24	20	0.245	0.088	0.54	1
49	72	0.245	0.097	0.61	1
136	116	0.245	0.112	0.55	1
46	90	0.244	0.161	0.61	1
135	114	0.243	0.049	0.46	1
52	125	0.243	0.099	0.47	1
150	114	0.243	0.213	0.43	1
58	87	0.243	0.053	0.50	1
113	67	0.242	0.086	0.38	1
95	129	0.241	0.207	0.57	1
15	18	0.241	0.080	0.50	1
80	112	0.241	0.078	0.40	1
29	144	0.240	0.048	0.42	1
157	83	0.239	0.185	0.35	1
91	111	0.239	0.218	0.42	1
92	182	0.238	0.121	0.43	1
83	77	0.238	0.118	0.33	1
8	101	0.238	0.133	0.43	1
43	111	0.237	0.067	0.46	1
80	143	0.237	0.066	0.52	1
39	18	0.237	0.047	0.39	1
34	169	0.237	0.047	0.38	1
125	62	0.236	0.108	0.50	1
107	178	0.236	0.159	0.45	1
151	100	0.236	0.194	0.41	1
81	176	0.236	0.180	0.30	1
145	65	0.236	0.120	0.50	1
101	18	0.235	0.142	0.49	1
90	97	0.235	0.194	0.63	1
18	87	0.235	0.062	0.47	1
13	30	0.234	0.075	0.48	1
99	136	0.234	0.082	0.56	1
99	86	0.233	0.056	0.36	1
43	36	0.233	0.061	0.31	1
94	56	0.233	0.188	0.56	1
14	168	0.232	0.065	0.59	1
157	158	0.231	0.104	0.33	1
157	183	0.231	0.161	0.41	1
80	15	0.230	0.100	0.63	1
105	135	0.230	0.046	0.57	1
19	13	0.230	0.157	0.39	1
95	71	0.230	0.194	0.58	1
169	114	0.229	0.055	0.26	1
100	146	0.229	0.062	0.44	1
57	18	0.229	0.152	0.38	1
91	118	0.229	0.106	0.41	1
153	167	0.228	0.168	0.58	1
63	92	0.228	0.129	0.46	1
157	136	0.228	0.128	0.54	1
131	86	0.228	0.127	0.35	1
158	120	0.228	0.046	0.44	1
153	71	0.228	0.058	0.51	1
172	175	0.227	0.204	0.54	1
11	7	0.227	0.097	0.32	1
166	100	0.226	0.154	0.60	1
183	172	0.226	0.084	0.57	1
14	72	0.225	0.095	0.47	1
134	174	0.225	0.048	0.57	1
77	4	0.225	0.148	0.40	1
169	18	0.225	0.059	0.38	1
165	63	0.224	0.169	0.58	1
136	98	0.224	0.045	0.50	1
112	92	0.224	0.058	0.43	1
26	27	0.224	0.045	0.50	1
112	110	0.223	0.045	0.54	1
34	15	0.223	0.045	0.60	1
1	21	0.223	0.045	0.51	1
80	100	0.223	0.079	0.38	1
