i	j	iLIS_best	iLIS_avg	ipTM_best
8967	967	0.274	0.057	0.32
11449	10580	0.274	0.182	0.39
6308	9645	0.274	0.080	0.32
7675	3911	0.273	0.065	0.42
7964	9821	0.271	0.161	0.35
13268	3514	0.270	0.085	0.65
7589	8172	0.270	0.061	0.37
6651	12750	0.269	0.101	0.63
12205	13266	0.266	0.184	0.36
9202	10580	0.265	0.093	0.31
6308	9531	0.262	0.095	0.36
9202	9949	0.261	0.119	0.52
572	9729	0.261	0.057	0.37
9028	7707	0.261	0.144	0.37
7250	9614	0.260	0.052	0.50
4651	12224	0.260	0.177	0.55
9321	9202	0.259	0.186	0.46
9202	13266	0.258	0.064	0.49
862	13050	0.257	0.082	0.53
12	13353	0.257	0.179	0.52
5773	9613	0.256	0.085	0.31
6651	12758	0.256	0.051	0.64
12267	9953	0.254	0.098	0.41
5773	9531	0.253	0.163	0.29
12318	11628	0.253	0.089	0.44
9028	9949	0.253	0.113	0.40
12320	12224	0.251	0.058	0.40
13320	13845	0.250	0.060	0.59
6651	12732	0.248	0.143	0.49
10278	11941	0.248	0.064	0.34
9675	5828	0.248	0.050	0.46
9028	12751	0.247	0.088	0.33
8046	9952	0.247	0.082	0.27
8222	9202	0.245	0.085	0.45
7014	12224	0.245	0.156	0.51
572	114	0.244	0.207	0.28
11628	11627	0.244	0.157	0.27
9486	806	0.243	0.092	0.36
10278	12733	0.242	0.048	0.58
5908	12252	0.241	0.096	0.46
10351	11585	0.241	0.207	0.64
9202	7707	0.241	0.081	0.41
10283	9089	0.238	0.129	0.37
12858	13845	0.237	0.094	0.53
7707	12224	0.237	0.075	0.39
4651	9202	0.236	0.197	0.54
7014	9202	0.235	0.110	0.46
8111	12224	0.233	0.103	0.44
890	47	0.233	0.165	0.64
9028	6308	0.232	0.169	0.39
12619	12444	0.232	0.048	0.43
9620	10455	0.231	0.093	0.40
902	9202	0.231	0.126	0.44
10605	967	0.231	0.131	0.40
861	862	0.230	0.112	0.39
325	10215	0.230	0.116	0.68
8212	8228	0.230	0.112	0.38
11449	10278	0.228	0.166	0.45
13213	13135	0.227	0.045	0.40
13019	10222	0.226	0.045	0.48
8608	13331	0.225	0.148	0.26
890	7821	0.224	0.154	0.61
11826	7415	0.223	0.131	0.38
10283	225	0.223	0.102	0.35
